ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2810010,伊曾島,ｲｿｼﾞﾏ,1,桑名市,35.05101,136.718163,
2810020,川越,ｶﾜｺﾞｴ,1,三重郡川越町,35.015736,136.687334,
2810030,楠,ｸｽ,1,四日市市,34.90267853,136.6456738,
2810040,若松,ﾜｶﾏﾂ,1,鈴鹿市,34.86889823,136.6261493,
2810080,香良洲,ｶﾗｽ,1,津市,34.6612936,136.5498367,
2810090,松ヶ崎,ﾏﾂｶﾞｻｷ,1,松阪市,34.6104414,136.5291881,
2810095,下御糸,ｼﾓﾐｲﾄ,1,多気郡明和町,34.60100749,136.6191004,
2810097,大淀,ｵｲｽﾞ,1,多気郡明和町,,,
2810100,村松,ﾑﾗﾏﾂ,1,伊勢市,34.55231205,136.6880451,
2810110,江,ｴ,1,伊勢市,34.50681783,136.7944618,
2810120,松下,ﾏﾂｼﾀ,1,伊勢市,34.49251287,136.8140038,
2810130,小浜,ｵﾊﾏ,1,伊勢市,34.49934015,136.8352056,
2810140,安楽島,ｱﾗｼﾏ,1,鳥羽市,34.462746,136.866504,
2810150,本浦,ﾓﾄｳﾗ,1,鳥羽市,34.4436799,136.8908665,
2810160,石鏡,ｲｼﾞｶ,1,鳥羽市,34.44698568,136.9203463,
2810170,国崎,ｸｻﾞｷ,1,鳥羽市,34.412198,136.92289,
2810180,相差,ｵｳｻﾂ,1,鳥羽市,34.388034,136.909281,
2810190,和具(答志),ﾜｸﾞ(ﾄｳｼ),1,鳥羽市,34.52178164,136.8980127,
2810195,舟越,ﾌﾅｺｼ,1,鳥羽市(答志島),34.53026613,136.884987,
2810200,坂手,ｻｶﾃ,1,鳥羽市(答志島),34.484411,136.859282,
2810205,国府,ｺｳ,1,鳥羽市（坂手島）,34.346094,136.88484,
2810210,甲賀,ｺｳｶ,1,志摩市,34.315541,136.890396,
2810215,神明,ｼﾝﾒｲ,1,志摩市,34.314429,136.824569,
2810220,名田,ﾅﾀ,1,志摩市,34.29241948,136.8942618,
2810230,片田,ｶﾀﾀﾞ,1,志摩市,34.24976439,136.8440851,
2810240,間崎,ﾏｻｷ,1,志摩市,34.28671489,136.8074369,
2810250,越賀,ｺｼｶ,1,志摩市（間崎島）,34.25634108,136.79537,
2810260,迫間浦,ﾊｻﾏｳﾗ,1,志摩市,34.31754685,136.6552505,
2810270,礫浦,ｻｻﾞﾗｳﾗ,1,度会郡南伊勢町,34.3152323,136.6722631,
2810285,慥柄,ﾀｼｶﾗ,1,度会郡南伊勢町,34.28600363,136.5674554,
2810290,方座浦,ﾎｳｻﾞｳﾗ,1,度会郡南伊勢町,34.258594,136.494321,
2810300,海野浦,ｶｲﾉｳﾗ,1,度会郡南伊勢町,34.18518788,136.3233145,
2810310,三浦,ﾐｳﾗ,1,北牟婁郡紀北町,34.16134429,136.281024,
2810320,矢口,ﾔｸﾞﾁ,1,北牟婁郡紀北町,34.126659,136.267123,
2810330,白浦,ｼﾛｳﾗ,1,北牟婁郡紀北町,34.128604,136.286565,
2810340,大曽根浦,ｵｵｿﾈｳﾗ,1,北牟婁郡紀北町,34.06349446,136.2217064,
2810350,行野浦,ﾕｸﾉｳﾗ,1,尾鷲市,34.0651593,136.2420881,
2810360,早田,ﾊｲﾀﾞ,1,尾鷲市,33.99767192,136.2582691,
