ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3010010,水ヶ浦,ﾐｽﾞｶﾞｳﾗ,1,舞鶴市,35.56286215,135.4675862,
3010020,成生,ﾅﾘｭｳ,1,舞鶴市,35.57861896,135.4493418,
3010050,瀬崎,ｾｻﾞｷ,1,舞鶴市,35.542865,135.348266,
3010070,西大浦,ﾆｼｵｵｳﾗ,1,舞鶴市,35.51707289,135.3455362,
3010080,神崎,ｶﾝｻﾞｷ,1,舞鶴市,35.51681098,135.3142318,
3010090,由良,ﾕﾗ,1,宮津市,35.52927628,135.2723462,
3010100,島陰,ｼﾏｶｹﾞ,1,宮津市,35.57423735,135.2507005,
3010110,田井(栗田),ﾀｲ(ｸﾝﾀﾞ),1,宮津市,35.58241659,135.2363054,
3010120,溝尻,ﾐｿﾞｼﾘ,1,宮津市,35.57702806,135.1855013,
3010180,泊,ﾄﾏﾘ,1,与謝郡伊根町,35.7056857,135.2888111,
3010200,袖志,ｿﾃﾞｼ,1,京丹後市,35.76496487,135.1985843,
3010210,竹野,ﾀｶﾉ,1,京丹後市,35.74467249,135.1124458,
3010220,小間,ｺﾏ,1,京丹後市,35.73555888,135.0844507,
3010230,砂方,ｽﾅｶﾞﾀ,1,京丹後市,35.72162479,135.0797373,
3010240,三津,ﾐﾂ,1,京丹後市,35.71207054,135.0657371,
3010250,遊,ｱｿﾋﾞ,1,京丹後市,35.70813133,135.0614381,
3010260,磯,ｲｿ,1,京丹後市,35.69046863,134.9932536,
3010270,浜詰,ﾊﾏﾂﾞﾒ,1,京丹後市,35.67524978,134.9652708,
3010280,蒲井,ｶﾏｲ,1,京丹後市,35.64769659,134.8844354,
3010290,旭,ｱｻﾋ,1,京丹後市,35.65655891,134.8826081,
3020010,田井(舞鶴),ﾀｲ(ﾏｲﾂﾞﾙ),2,舞鶴市,35.56874795,135.4549972,
3020015,野原,ﾉﾊﾗ,2,舞鶴市,35.56823829,135.4268692,
3020020,竜宮浜,ﾘｭｳｸﾞｳﾊﾏ,2,舞鶴市,35.56323554,135.3988422,
3020030,栗田,ｸﾝﾀﾞ,2,宮津市,35.55177185,135.2375431,
3020035,養老,ﾖｳﾛｳ,2,宮津市,35.6465888,135.2537725,
3020040,伊根,ｲﾈ,2,与謝郡伊根町,35.67380399,135.2927206,
3020045,新井,ﾆｲ,2,与謝郡伊根町,35.69300097,135.3054549,
3020047,浦島,ｳﾗｼﾏ,2,与謝郡伊根町,35.73194352,135.2749614,
3020050,本庄,ﾎﾝｼﾞｮｳ,2,与謝郡伊根町,35.75246065,135.2520886,
3020060,間人,ﾀｲｻﾞ,2,京丹後市,35.7386929,135.0928646,
3020070,浅茂川,ｱｻﾓｶﾞﾜ,2,京丹後市,35.69081547,135.015241,
3030010,舞鶴,ﾏｲﾂﾞﾙ,3,舞鶴市,35.46257172,135.3269271,
3040010,中浜,ﾅｶﾊﾏ,4,京丹後市,35.55825225,135.3925389,
