ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4410010,浜崎,ﾊﾏｻｷ,1,唐津市,33.45632524,130.0365006,
4410020,相賀,ｵｳｶ,1,唐津市,33.50330503,129.9574333,
4410030,屋形石,ﾔｶﾀｲｼ,1,唐津市,33.53830655,129.9311437,
4410040,高島,ﾀｶｼﾏ,1,唐津市（高島）,33.47108119,129.9858268,
4410045,小友,ｺﾄﾞﾓ,1,唐津市,33.54599584,129.9033141,
4410050,加部島,ｶﾍﾞｼﾏ,1,唐津市,33.54630411,129.8823648,
4410060,波戸,ﾊﾄﾞ,1,唐津市,33.54508653,129.8584847,
4410070,串浦,ｸｼｳﾗ,1,唐津市,33.52326788,129.8529519,
4410080,大泊,ｵｵﾄﾞﾏﾘ,1,唐津市（加唐島）,33.61004756,129.8628415,
4410090,加唐島,ｶｶﾗｼﾏ,1,唐津市（加唐島）,33.58655925,129.8576158,
4410100,松島,ﾏﾂｼﾏ,1,唐津市（松島）,33.58362953,129.8420234,
4410110,馬渡島,ﾏﾀﾞﾗｼﾏ,1,唐津市（馬渡島）,33.56681016,129.7675469,
4410120,外津,ﾎｶﾜﾂﾞ,1,東松浦郡玄海町,33.51287157,129.8495425,
4410130,仮屋,ｶﾘﾔ,1,東松浦郡玄海町,33.47324595,129.8473692,
4410140,京泊,ｷｮｳﾄﾞﾏﾘ,1,唐津市,33.47539345,129.8266208,
4410160,駄竹,ﾀﾞﾁﾞｸ,1,唐津市,33.46030675,129.8033999,
4410170,晴気,ﾊﾚｷﾞ,1,唐津市,33.4336804,129.8096417,
4410180,大浦,ｵｵｳﾗ,1,唐津市,33.40931656,129.8626041,
4410190,向島,ﾑｸｼﾏ,1,唐津市（向島）,33.4894389,129.7790498,
4410230,千歳,ﾁﾄｾ,1,神埼市,33.246079,130.389613,
4410280,広江,ﾋﾛｴ,1,佐賀市,33.16409104,130.2766814,
4410300,佐嘉,ｻｶﾞ,1,佐賀市,33.206637,130.254349,
4410305,福所江,ﾌｸｼｮｴ,1,佐賀市,33.210525,130.228795,
4410310,住ノ江,ｽﾐﾉｴ,1,小城市,33.192471,130.205743,
4410325,新有明,ｼﾝｱﾘｱｹ,1,杵島郡白石町,,,
4410330,百貫,ﾋｬｯｶﾝ,1,杵島郡白石町,33.131642,130.109641,
4410350,七浦,ﾅﾅｳﾗ,1,鹿島市,33.07247476,130.1478678,
4410360,飯田,ｲｲﾀﾞ,1,鹿島市,33.05858006,130.1605813,
4410370,多良,ﾀﾗ,1,鹿島市,33.03047902,130.1812886,
4410380,糸岐,ｲﾄｷ,1,藤津郡太良町,33.0167848,130.1828391,
4410390,破瀬ノ浦,ﾊｾﾞﾉｳﾗ,1,藤津郡太良町,33.00034678,130.189331,
4410400,野崎,ﾉｻﾞｷ,1,藤津郡太良町,32.97475517,130.2227796,
4410410,芦刈,ｱｼｶﾘ,1,藤津郡太良町,,,
4420010,唐房,ﾄｳﾎﾞｳ,2,小城市,33.48814255,129.9484096,
4420020,湊浜,ﾐﾅﾄﾊﾏ,2,唐津市,33.52539604,129.9592173,
4420030,神集島,ｶｼﾜｼﾞﾏ,2,唐津市,33.5352387,129.9673403,
4420050,小川島,ｵｶﾞﾜｼﾏ,2,唐津市（神集島）,33.59335394,129.8971046,
4420060,名護屋,ﾅｺﾞﾔ,2,唐津市（小川島）,33.52607235,129.8802897,
4420070,波多津,ﾊﾀﾂ,2,唐津市,33.37750645,129.8650419,
4420080,戸ヶ里・寺井津,ﾄｶﾞﾘ・ﾃﾗｲﾂ,2,伊万里市,33.173309,130.320177,
4420090,廻里江,ﾒｸﾞﾘｴ,2,佐賀市,33.13692,130.127695,
4420100,浜,ﾊﾏ,2,杵島郡白石町,33.09417954,130.1445452,
4420110,道越,ﾐﾁｺﾞｼ,2,鹿島市,32.96060979,130.2230786,
4430010,呼子,ﾖﾌﾞｺ,3,藤津郡太良町,33.54540826,129.8893841,
4430020,高串,ﾀｶｸｼ,3,唐津市,33.42353355,129.8208713,
,,,,唐津市,,,
