ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3210010,塩屋,ｼｵﾔ,1,神戸市,34.631574,135.081376,
3210020,舞子,ﾏｲｺ,1,神戸市,34.62713,135.039435,
3210030,松江,ﾏﾂｴ,1,明石市,33.623828,131.093984,
3210040,藤江,ﾌｼﾞｴ,1,明石市,34.65801444,134.948808,
3210050,魚住,ｳｵｽﾞﾐ,1,明石市,34.68462,134.901391,
3210060,古宮,ｺﾐﾔ,1,加古郡播磨町,34.707672,134.865282,
3210070,阿閇,ｱｴ,1,加古郡播磨町,34.712394,134.858059,
3210080,岩見,ｲﾜﾐ,1,たつの市,34.781545,134.528086,
3210090,坂越,ｻｺｼ,1,赤穂市,34.767101,134.453927,
3210100,福浦,ﾌｸｳﾗ,1,赤穂市,34.738213,134.343104,
3210110,田結,ﾀｲ,1,豊岡市,35.64505432,134.8428334,
3210120,田久日,ﾀｸｲ,1,豊岡市,35.66712223,134.7929658,
3210130,宇日,ｳｲ,1,豊岡市,35.66106755,134.7836378,
3210140,切浜,ｷﾘﾊﾏ,1,豊岡市,35.66170032,134.7446138,
3210150,須井,ｽｲ,1,豊岡市,35.65866672,134.7351848,
3210160,相谷,ｱｲﾀﾆ,1,美方郡香美町,35.661171,134.728594,
3210170,鎧,ﾖﾛｲ,1,美方郡香美町,35.653112,134.575552,
3210180,余部,ｱﾏﾙﾍﾞ,1,美方郡香美町,35.650613,134.55861,
3210190,御崎,ﾐｻｷ,1,美方郡香美町,35.66006379,134.5503187,
3210200,三尾,ﾐｵ,1,美方郡新温泉町,35.656167,134.502782,
3210210,釜屋,ｶﾏﾔ,1,美方郡新温泉町,35.6187903,134.4131809,
3210215,居組,ｲｸﾞﾐ,1,美方郡新温泉町,35.61476154,134.3861705,
3210220,炬口,ﾀｹﾉｸﾁ,1,洲本市,34.353269,134.894457,
3210230,生穂,ｲｸﾎ,1,淡路市,34.447426,134.921674,
3210240,釜口,ｶﾏｸﾞﾁ,1,淡路市,34.491588,134.963057,
3210250,岩屋,ｲﾜﾔ,1,淡路市,34.588801,135.022772,
3210260,野島,ﾉｼﾞﾏ,1,淡路市,34.55991275,134.9451456,
3210280,桃川,ﾓﾓｶﾜ,1,淡路市,34.462143,134.814461,
3210310,船瀬,ﾌﾅｾ,1,洲本市,34.385484,134.757524,
3210320,鳥飼,ﾄﾘｶｲ,1,洲本市,34.373263,134.749191,
3210330,阿那賀,ｱﾅｶﾞ,1,南あわじ市,34.26994,134.668925,
3210340,伊毘,ｲﾋﾞ,1,南あわじ市,34.258553,134.673924,
3210350,仁頃,ﾆｺﾞﾛ,1,南あわじ市,34.191617,134.744754,
3210360,地野,ﾁﾉ,1,南あわじ市,34.198283,134.765584,
3210410,吉野,ﾖｼﾉ,1,南あわじ市,34.214116,134.823079,
3210420,黒岩,ｸﾛｲﾜ,1,南あわじ市,34.219393,134.828634,
3220020,林崎,ﾊﾔｼｻﾞｷ,2,明石市,34.646015,134.967219,
3220025,妻鹿,ﾒｶﾞ,2,姫路市,34.774327,134.702516,
3220030,室津,ﾑﾛﾂ,2,たつの市,34.767102,134.504756,
3220040,家島,ｲｴｼﾏ,2,姫路市（家島）,34.67608136,134.532921,
3220050,坊勢,ﾎﾞｳｾﾞ,2,姫路市（坊勢島）,34.64656,134.513648,
3220070,諸寄,ﾓﾛﾖｾ,2,美方郡新温泉町,35.62327942,134.4317978,
3220090,仮屋,ｶﾘﾔ,2,淡路市,34.517141,134.990277,
3220100,富島,ﾄｼﾏ,2,淡路市,34.549914,134.933336,
3220105,浅野,ｱｻﾉ,2,淡路市,34.536304,134.910284,
3220110,育波,ｲｸﾊ,2,淡路市,34.530471,134.892507,
3220120,尾崎,ｵｻｷ,2,淡路市,34.497696,134.858901,
3220130,丸山,ﾏﾙﾔﾏ,2,南あわじ市,34.289382,134.657258,
3220135,灘,ﾅﾀﾞ,2,南あわじ市,34.19884,134.797249,
3220140,沼島,ﾇｼﾏ,2,南あわじ市(沼島),34.169399,134.818081,
3230015,垂水,ﾀﾙﾐ,3,神戸市,34.62541058,135.0542082,
3230020,香住,ｶｽﾐ,3,美方郡香美町,35.645337,134.630548,
3230030,浜坂,ﾊﾏｻｶ,3,美方郡新温泉町,35.62984283,134.4450689,
