ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1110050,斜内,ｼｬﾅｲ,1,枝幸郡浜頓別町,45.060549,142.484079,
1110065,浜猿払,ﾊﾏｻﾙﾌﾂ,1,宗谷郡猿払村,45.271626,142.237698,
1110080,宗谷,ｿｳﾔ,1,稚内市,45.51311525,141.8938235,
1110090,声問,ｺｴﾄｲ,1,稚内市,45.40950332,141.7557558,
1110110,西稚内,ﾆｼﾜｯｶﾅｲ,1,稚内市,45.390202,141.638302,
1110115,稚咲内,ﾜｶｻｶﾅｲ,1,天塩郡豊富町,45.083851,141.630269,
1110120,東上泊,ﾋｶﾞｼｳｴﾄﾞﾏﾘ,1,礼文郡礼文町（礼文島）,45.418234,141.061967,
1110130,幌泊,ﾎﾛﾄﾞﾏﾘ,1,礼文郡礼文町（礼文島）,45.455174,141.041966,
1110135,浜中,ﾊﾏﾅｶ,1,礼文郡礼文町（礼文島）,45.436841,140.993917,
1110140,須古頓,ｽｺﾄﾝ,1,礼文郡礼文町（礼文島）,45.456004,140.974473,
1110150,西上泊,ﾆｼｳｴﾄﾞﾏﾘ,1,礼文郡礼文町（礼文島）,45.411566,140.988641,
1110155,宇遠内,ｳｴﾝﾅｲ,1,礼文郡礼文町（礼文島）,45.345186,141.000312,
1110160,知床,ｼﾚﾄｺ,1,礼文郡礼文町（礼文島）,45.27464,141.034757,
1110170,差閉,ｻｼﾄｼﾞ,1,礼文郡礼文町（礼文島）,45.280196,141.045589,
1110180,香深井,ｶﾌｶｲ,1,礼文郡礼文町（礼文島）,45.336855,141.049751,
1110190,内路,ﾅｲﾛ,1,礼文郡礼文町（礼文島）,45.389071,141.054192,
1110200,新湊,ｼﾝﾐﾅﾄ,1,利尻郡利尻町（利尻島）,45.20493,141.138919,
1110210,蘭泊,ﾗﾝﾄﾞﾏﾘ,1,利尻郡利尻町（利尻島）,45.154103,141.151699,
1110220,御崎,ﾐｻｷ,1,利尻郡利尻町（利尻島）,45.103279,141.22725,
1110230,鬼脇,ｵﾆﾜｷ,1,利尻郡利尻富士町（利尻島）,45.108558,141.272524,
1110250,雄忠志内,ｵﾁｭｳｼﾅｲ,1,利尻郡利尻富士町（利尻島）,45.226043,141.279459,
1111020,豊岬,ﾄﾖｻｷ,1,苫前郡初山別村,44.564753,141.775012,
1111030,初浦,ﾊﾂｳﾗ,1,苫前郡初山別村,44.533645,141.763904,
1111050,天売焼尻,ﾃｳﾘﾔｷﾞｼﾘ,1,苫前郡羽幌町（天売島焼,44.426977,141.332285,
1111060,力昼,ﾘｷﾋﾞﾙ,1,苫前郡苫前町,44.224235,141.65449,
1111070,臼谷,ｳｽﾔ,1,留萌郡小平町,43.99916667,141.6477778,
1111075,三泊,ｻﾝﾄﾞﾏﾘ,1,留萌市,43.981764,141.646173,
1111090,礼受,ﾚｳｹ,1,留萌市,43.91823183,141.6198721,
1111095,阿分,ｱﾌﾝ,1,増毛郡増毛町,43.891774,141.60285,
1111100,別苅,ﾍﾞﾂｶﾘ,1,増毛郡増毛町,43.833444,141.475366,
1111110,岩老,ｲﾜｵｲ,1,増毛郡増毛町,43.775947,141.368434,
1111515,濃昼,ｺﾞｷﾋﾞﾙ,1,石狩市,43.477651,141.38984,
1111520,厚田,ｱﾂﾀ,1,石狩市,43.40028377,141.4273447,
1111530,古潭,ｺﾀﾝ,1,石狩市,43.36138889,141.4230556,
1112010,祝津,ｼｭｸﾂ,1,小樽市,43.234057,141.014335,
1112020,塩谷,ｼｵﾔ,1,小樽市,43.219056,140.919345,
1112030,忍路,ｵｼｮﾛ,1,小樽市,43.209611,140.860184,
1112040,余市,ﾖｲﾁ,1,余市郡余市町,43.19838067,140.7912483,
1112090,幌武意,ﾎﾛﾑｲ,1,積丹郡積丹町,43.35908667,140.5105054,
1112100,入舸,ｲﾘｶ,1,積丹郡積丹町,43.365413,140.468822,
1112110,日司,ﾋﾂﾞｶ,1,積丹郡積丹町,43.35800346,140.4642559,
1112120,野塚,ﾉﾂﾞｶ,1,積丹郡積丹町,43.342637,140.455214,
1112130,神岬,ｺｳｻﾞｷ,1,積丹郡積丹町,43.31317436,140.3563645,
1112170,盃,ｻｶｽﾞｷ,1,古宇郡泊村,43.10711,140.452728,
1112190,茶津,ﾁｬﾂ,1,古宇郡泊村,43.042953,140.507449,
1112200,敷島内,ｼｷｼﾏﾅｲ,1,岩内郡岩内町,42.972405,140.483011,
1112210,尻別,ｼﾘﾍﾞﾂ,1,磯谷郡蘭越町,42.877135,140.361917,
1112220,横澗,ﾖｺﾏ,1,寿都郡寿都町,42.84525777,140.3273361,
1112230,鮫泊,ｻﾒﾄﾞﾏﾘ,1,寿都郡寿都町,42.834639,140.313312,
1112240,美谷(歌棄),ﾋﾞﾔ(ｳﾀｽﾂ),1,寿都郡寿都町,42.832139,140.310258,
1112250,有戸,ｱﾘﾄ,1,寿都郡寿都町,42.79722222,140.3013889,
1112260,樽岸,ﾀﾙｷｼ,1,寿都郡寿都町,42.776588,140.240267,
1112270,政泊,ﾏｻﾄﾞﾏﾘ,1,寿都郡寿都町,42.812137,140.178049,
1112290,厚瀬,ｱｯﾁｬｾ,1,島牧郡島牧村,42.74057897,140.1115397,
1112300,軽臼,ｶﾙｳｽ,1,島牧郡島牧村,42.731866,140.086951,
1112320,千走,ﾁﾊｾ,1,島牧郡島牧村,42.68885738,139.9997392,
1113040,狩場,ｶﾘﾊﾞ,1,久遠郡せたな町,42.4806483,139.8459537,
1113060,鵜泊,ｳﾄﾞﾏﾘ,1,久遠郡せたな町,42.35849127,139.793501,
1113070,太田,ｵｵﾀ,1,久遠郡せたな町,42.282189,139.782282,
1113080,上浦,ｶﾐｳﾗ,1,久遠郡せたな町,42.226919,139.812839,
1113090,宮野,ﾐﾔﾉ,1,久遠郡せたな町,42.218033,139.859224,
1113100,平浜,ﾋﾗﾊﾏ,1,久遠郡せたな町,42.206091,139.881166,
1113110,白泉,ｼﾗｲｽﾞﾐ,1,久遠郡せたな町,42.185815,139.891444,
1113120,長磯,ﾅｶﾞｲｿ,1,久遠郡せたな町,42.13889495,139.917392,
1113130,関内,ｾｷﾅｲ,1,二海郡八雲町,42.13249,139.928111,
1113150,相沼泊川,ｱｲﾇﾏﾄﾏﾘｶﾜ,1,二海郡八雲町,42.07509754,140.0596125,
1113180,江差追分,ｴｻｼｵｲﾜｹ,1,檜山郡江差町,41.89066178,140.1348714,
1113200,上ノ国,ｶﾐﾉｸﾆ,1,檜山郡上ノ国町,41.740874,140.051733,
1113230,奥尻,ｵｸｼﾘ,1,奥尻郡奥尻町（奥尻島）,42.237465,139.54703,
1114010,原口,ﾊﾗｸﾞﾁ,1,松前郡松前町,41.606444,139.982857,
1114020,清部,ｷﾖﾍﾞ,1,松前郡松前町,41.523677,140.002304,
1114030,茂草,ﾓｸﾞｻ,1,松前郡松前町,41.493959,140.014527,
1114040,静浦,ｼｽﾞｳﾗ,1,松前郡松前町,41.48292056,140.0213724,
1114050,札前,ｻﾂﾏｴ,1,松前郡松前町,41.46924,140.028971,
1114060,大沢朝日,ｵｵｻﾜｱｻﾋ,1,松前郡松前町,41.426471,140.139797,
1114070,白神,ｼﾗｶﾐ,1,松前郡松前町,41.41314,140.170629,
1114080,岩部,ｲﾜﾍﾞ,1,松前郡福島町,41.506745,140.340052,
1114100,知内,ｼﾘｳﾁ,1,上磯郡知内町,41.560631,140.432541,
1114105,中の川,ﾅｶﾉｶﾜ,1,上磯郡知内町,41.63428575,140.4325105,
1114110,木古内,ｷｺﾅｲ,1,上磯郡木古内町,41.698948,140.482528,
1114160,北斗,ﾎｸﾄ,1,北斗市,41.81678344,140.6435447,
1114170,住吉,ｽﾐﾖｼ,1,函館市,41.754782,140.721393,
1114175,函館湯川,ﾊｺﾀﾞﾃﾕﾉｶﾜ,1,函館市,41.77255952,140.7801283,
1114180,志海苔,ｼﾉﾘ,1,函館市,41.7572011,140.8477917,
1114200,石崎(銭亀沢),ｲｼｻﾞｷ (ｾﾞﾆｶﾒｻﾞﾜ),1,函館市,41.752565,140.874434,
1114205,小安,ｵﾔｽ,1,函館市,41.744789,140.907765,
1114206,釜谷(戸井),ｶﾏﾔ(ﾄｲ),1,函館市,,,※ID追加
1114215,汐首,ｼｵｸﾋﾞ,1,函館市,41.712295,140.957206,
1114220,日浦,ﾋｳﾗ,1,函館市,41.727574,141.051642,
1114230,女那川,ﾒﾅｶﾞﾜ,1,函館市,41.759238,141.085803,
1114240,恵山,ｴｻﾝ,1,函館市,41.795626,141.173016,
1114250,古部,ﾌﾙﾍﾞ,1,函館市,41.865892,141.116906,
1114260,木直,ｷﾅｵｼ,1,函館市,41.886999,141.06802,
1114270,川汲,ｶｯｸﾐ,1,函館市,41.905328,140.981916,
1114280,大舟,ｵｵﾌﾈ,1,函館市,41.96863248,140.9165125,
1114293,沼尻,ﾇﾏｼﾞﾘ,1,茅部郡森町,42.1243793,140.7348528,
1114295,掛澗,ｶｶﾘﾏ,1,茅部郡森町,42.12559695,140.6430538,
1114298,鷲ノ木,ﾜｼﾉｷ,1,茅部郡森町,42.115011,140.544999,
1114300,蛯谷,ｴﾋﾞﾔ,1,茅部郡森町,42.133341,140.509446,
1114305,石倉,ｲｼｸﾗ,1,茅部郡森町,42.15944444,140.4802778,
1114311,山越,ﾔﾏｺｼ,1,二海郡八雲町,42.216383,140.395285,
1114313,黒岩,ｸﾛｲﾜ,1,二海郡八雲町,42.37111111,140.2916667,
1114314,国縫,ｸﾝﾇｲ,1,山越郡長万部町,42.438854,140.329446,
1114315,長万部,ｵｼｬﾏﾝﾍﾞ,1,山越郡長万部町,42.52333333,140.3930556,
1114320,静狩,ｼｽﾞｶﾘ,1,山越郡長万部町,42.588285,140.474146,
1114325,大中,ｵｵﾅｶ,1,山越郡長万部町,42.491349,140.363051,
1115010,礼文,ﾚﾌﾞﾝ,1,虻田郡豊浦町,42.575513,140.59969,
1115015,大岸,ｵｵｷｼ,1,虻田郡豊浦町,42.585235,140.641352,
1115030,有珠,ｳｽ,1,伊達市,42.515803,140.785787,
1115040,伊達,ﾀﾞﾃ,1,伊達市,42.465812,140.85745,
1115045,黄金,ｺｶﾞﾈ,1,伊達市,42.419707,140.898282,
1115050,鷲別,ﾜｼﾍﾞﾂ,1,登別市,42.355276,141.051606,
1115055,イタンキ,ｲﾀﾝｷ,1,室蘭市,42.337222,141.031609,
1115065,鵡川,ﾑｶﾜ,1,勇払郡むかわ町,42.547782,141.939568,
1116010,富浜,ﾄﾐﾊﾏ,1,沙流郡日高町,42.493624,142.018454,
