ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1910020,飯岡,ｲｲｵｶ,1,旭市,35.691875,140.73224,
1910030,栗山川,ｸﾘﾔﾏｶﾞﾜ,1,山武郡横芝光町,35.64195597,140.5819452,
1910040,太東,ﾀｲﾄｳ,1,いすみ市,35.328852,140.402283,
1910050,岩船,ｲﾜﾌﾈ,1,いすみ市,35.208587,140.392565,
1910070,串浜,ｸｼﾊﾏ,1,勝浦市,35.149424,140.296743,
1910080,鵜原,ｳﾊﾞﾗ,1,勝浦市,35.13364385,140.2842061,
1910090,守谷,ﾓﾘﾔ,1,勝浦市,35.136646,140.256747,
1910100,浜行川,ﾊﾏﾅﾒｶﾞﾜ,1,勝浦市,35.12155924,140.2351824,
1910110,大沢,ｵｵｻﾜ,1,勝浦市,35.116371,140.220361,
1910120,天面,ｱﾏﾂﾗ,1,鴨川市,35.069149,140.083431,
1910130,太夫崎,ﾀﾕｳｻﾞｷ,1,鴨川市,35.06272401,140.0791478,
1910140,白子,ｼﾗｺ,1,南房総市,34.985266,139.970944,
1910150,忽戸,ｺｯﾄ,1,南房総市,34.946104,139.964001,
1910160,川口,ｶﾜｸﾞﾁ,1,南房総市,34.938327,139.96039,
1910170,平磯,ﾋﾗｲｿ,1,南房総市,34.936106,139.957613,
1910175,七浦,ﾅﾅｳﾗ,1,南房総市,34.931939,139.954002,
1910180,白間津,ｼﾗﾏﾂﾞ,1,南房総市,34.924161,139.941503,
1910190,大川,ｵｵｶﾜ,1,南房総市,34.92805,139.94817,
1910200,名倉,ﾅｸﾞﾗ,1,南房総市,34.906386,139.908174,
1910210,野島,ﾉｼﾞﾏ,1,南房総市,34.905551,139.89373,
1910230,川下,ｶﾜｼﾓ,1,南房総市,34.903607,139.870955,
1910240,白浜西部,ｼﾗﾊﾏｾｲﾌﾞ,1,南房総市,34.903606,139.841791,
1910260,伊戸,ｲﾄ,1,館山市,34.954988,139.771794,
1910270,川名,ｶﾜﾅ,1,館山市,34.96123892,139.7573684,
1910280,洲崎,ｽﾉｻｷ,1,館山市,34.969429,139.754851,
