ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3310020,田ノ浦,ﾀﾉｳﾗ,1,和歌山市,34.18229826,135.1511936,
3310030,塩津,ｼｵﾂ,1,海南市,34.1347087,135.1690275,
3310040,戸坂,ﾄｻｶ,1,海南市,34.136632,135.157775,
3310050,初島,ﾊﾂｼﾏ,1,有田市,34.09844812,135.106688,
3310070,矢櫃,ﾔﾋﾞﾂ,1,有田市,34.068027,135.091394,
3310080,逢井,ｵｳｲ,1,有田市,34.07023741,135.104144,
3310090,千田,ﾁﾀﾞ,1,有田市,34.064974,135.135556,
3310100,田村,ﾀﾑﾗ,1,有田郡湯浅町,34.040254,135.162222,
3310110,栖原,ｽﾊﾗ,1,有田郡湯浅町,34.027479,135.169166,
3310120,唐尾,ｶﾗｵ,1,有田郡広川町,34.00748,135.143057,
3310130,鈴子,ｽｽﾞｺ,1,有田郡広川町,34.00087569,135.1357332,
3310140,三尾川,ﾐｵｶﾞﾜ,1,日高郡由良町,34.00038993,135.1323805,
3310150,戸津井,ﾄﾂｲ,1,日高郡由良町,33.98925138,135.0919855,
3310160,小引,ｺﾋﾞｷ,1,日高郡由良町,33.981926,135.089452,
3310170,大引,ｵｵﾋﾞｷ,1,日高郡由良町,33.969149,135.083898,
3310180,小浦,ｵｳﾗ,1,日高郡日高町,33.925543,135.0739,
3310190,津久野,ﾂｸﾉ,1,日高郡日高町,33.923599,135.078622,
3310200,比井,ﾋｲ,1,日高郡日高町,33.919433,135.081122,
3310210,産湯,ｳﾌﾞﾕ,1,日高郡日高町,33.91125786,135.0816792,
3310220,田杭,ﾀｸﾞｲ,1,日高郡日高町,33.894713,135.064457,
3310230,三尾,ﾐｵ,1,日高郡美浜町,33.888603,135.082234,
3310240,本ノ脇,ﾓﾄﾉﾜｷ,1,日高郡美浜町,33.893048,135.111398,
3310270,祓井戸,ﾊﾗｲﾄﾞ,1,御坊市,33.85306683,135.163863,
3310290,野島,ﾉｼﾏ,1,御坊市,33.84251852,135.1679834,
3310300,加尾,ｶｵ,1,御坊市,33.83930109,135.1738256,
3310310,上野,ｳｴﾉ,1,御坊市,33.825002,135.183894,
3310320,下楠井,ｼﾓｸｽｲ,1,御坊市,33.816669,135.193893,
3310330,津井,ﾂｲ,1,日高郡印南町,33.81167,135.205559,
3310340,切目,ｷﾘﾒ,1,日高郡印南町,33.790284,135.233891,
3310350,島田,ｼﾏﾀﾞ,1,日高郡印南町,33.78039288,135.2401871,
3310360,岩代,ｲﾜｼﾛ,1,日高郡みなべ町,33.78157371,135.2708398,
3310370,大目津,ｵｵﾒﾂﾞ,1,日高郡みなべ町,33.767233,135.297219,
3310380,南部,ﾐﾅﾍﾞ,1,日高郡みなべ町,33.76489545,135.3192939,
3310390,芳養,ﾊﾔ,1,田辺市,33.741126,135.355826,
3310400,目良,ﾒﾗ,1,田辺市,33.731682,135.353048,
3310405,内の浦,ｳﾁﾉｳﾗ,1,田辺市,33.695298,135.386381,
3310420,堅田,ｶﾀﾀﾞ,1,西牟婁郡白浜町,33.683077,135.377771,
3310430,綱不知,ﾂﾅｼﾗｽﾞ,1,西牟婁郡白浜町,33.688354,135.355828,
3310440,江津良,ｴﾂﾞﾗ,1,西牟婁郡白浜町,33.69392558,135.3511679,
3310450,瀬戸,ｾﾄ,1,西牟婁郡白浜町,33.688354,135.343606,
3310460,湯崎,ﾕｻﾞｷ,1,西牟婁郡白浜町,33.676966,135.33944,
3310470,鴨居,ｶﾓｲ,1,西牟婁郡白浜町,33.64947,135.381104,
3310480,安久川,ｱｸｶﾞﾜ,1,西牟婁郡白浜町,33.65136715,135.3766869,
3310490,中,ﾅｶ,1,西牟婁郡白浜町,33.648359,135.381383,
3310500,袋,ﾌｸﾛ,1,西牟婁郡白浜町,33.629751,135.396104,
3310510,朝来帰,ｱｻﾗｷﾞ,1,西牟婁郡白浜町,33.615863,135.395826,
3310520,市江,ｲﾁｴ,1,西牟婁郡白浜町,33.58670741,135.4029267,
3310530,笠甫,ｶｻﾎ,1,西牟婁郡白浜町,33.57912312,135.4172985,
3310540,伊古木,ｲｺｷﾞ,1,西牟婁郡白浜町,33.5518849,135.458253,
3310550,口和深,ｸﾁﾜﾌﾞｶ,1,西牟婁郡すさみ町,33.52946067,135.5127397,
3310560,見老津,ﾐﾛﾂﾞ,1,西牟婁郡すさみ町,33.51070885,135.577211,
3310570,江須ノ川,ｴｽﾉｶﾜ,1,西牟婁郡すさみ町,33.506436,135.593313,
3310580,江住,ｴｽﾐ,1,西牟婁郡すさみ町,33.50871212,135.6063178,
3310590,里野,ｻﾄﾉ,1,西牟婁郡すさみ町,33.5026332,135.6261299,
3310600,舟波,ﾌﾅﾅﾐ,1,東牟婁郡串本町,33.49546261,135.6591377,
3310610,安指,ｱｻﾞｼ,1,東牟婁郡串本町,33.48973047,135.6726576,
3310620,田子,ﾀｺ,1,東牟婁郡串本町,33.48924137,135.6804356,
3310630,江田,ｴﾀﾞ,1,東牟婁郡串本町,33.490884,135.70136,
3310640,野凪,ﾉｳﾅｷﾞ,1,東牟婁郡串本町,33.487551,135.709692,
3310650,田並,ﾀﾅﾐ,1,東牟婁郡串本町,33.48473532,135.7139882,
3310665,須賀,ｽｶ,1,東牟婁郡串本町,33.467555,135.774131,
3310670,菖蒲谷,ｼｮﾊﾞﾀﾆ,1,東牟婁郡串本町,33.45439309,135.7583886,
3310680,黒島,ｸﾛｼﾏ,1,東牟婁郡串本町,33.4362572,135.755707,
3310690,船瀬,ﾌﾅｾ,1,東牟婁郡串本町,33.446446,135.772188,
3310700,出雲,ｲﾂﾓ,1,東牟婁郡串本町,33.450057,135.794408,
3310710,橋杭,ﾊｼｸﾞｲ,1,東牟婁郡串本町,33.48508382,135.7944839,
3310730,樫野,ｶｼﾉ,1,東牟婁郡串本町,33.471167,135.85107,
3310740,阿野木,ｱﾉｷ,1,東牟婁郡串本町,33.46567725,135.8541036,
3310750,須江,ｽｴ,1,東牟婁郡串本町,33.455891,135.829683,
3310760,白野,ｼﾗﾉ,1,東牟婁郡串本町,33.45478,135.822462,
3310770,姫,ﾋﾒ,1,東牟婁郡串本町,33.499496,135.800517,
3310780,伊串,ｲｸｼ,1,東牟婁郡串本町,33.502274,135.807183,
3310810,津荷,ﾂｶﾞ,1,東牟婁郡串本町,33.516717,135.843013,
