ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4710010,今津,ｲﾏﾂﾞ,1,中津市,33.5916681,131.2706093,
4710020,高津,ﾀｶﾂ,1,宇佐市,33.58197747,131.2992216,
4710025,和間,ﾜﾏ,1,宇佐市,33.57915679,131.3984663,
4710030,真玉,ﾏﾀﾏ,1,豊後高田市,33.61513032,131.4679215,
4710040,尾鷲,ｵﾜｼ,1,豊後高田市,33.625779,131.475339,
4710050,小林,ｵﾊﾞﾔｼ,1,豊後高田市,33.64430708,131.4849103,
4710060,三浦,ﾐｳﾗ,1,豊後高田市,33.6496597,131.4967935,
4710070,松津,ｼｮｳﾂﾞ,1,豊後高田市,33.66661817,131.4992748,
4710080,西浦,ﾆｼｳﾗ,1,東国東郡姫島村（姫島）,33.72769972,131.641143,
4710090,北浦,ｷﾀｳﾗ,1,東国東郡姫島村（姫島）,33.73399906,131.6579474,
4710100,東浦,ﾋｶﾞｼｳﾗ,1,東国東郡姫島村（姫島）,33.727161,131.682539,
4710110,小野田,ｵﾉﾀﾞ,1,国東市,33.68165537,131.5550887,
4710120,種田,ﾀﾈﾀﾞ,1,国東市,33.68819826,131.5760539,
4710130,古町,ﾌﾙﾏﾁ,1,国東市,33.68689498,131.5985469,
4710140,古江,ﾌﾙｴ,1,国東市,33.678832,131.616991,
4710150,啝ノ浦,ﾅｷﾞﾉｳﾗ,1,国東市,33.674944,131.642266,
4710160,面木,ｵﾓﾃｷﾞ,1,国東市,33.66298078,131.6498332,
4710170,内迫,ｳﾁｻｺ,1,国東市,33.66493853,131.6653394,
4710180,島田,ｼﾏﾀﾞ,1,国東市,33.65773016,131.6689392,
4710190,大海田,ｵｵﾐﾀﾞ,1,国東市,33.49135285,131.7319863,
4710200,堅来,ｶﾀｸ,1,国東市,33.61561218,131.7010576,
4710210,北江,ｷﾀｴ,1,国東市,33.58316181,131.7321445,
4710220,平床,ﾋﾗﾄｺ,1,国東市,33.55243091,131.7429807,
4710230,来浦,ｸﾉｳﾗ,1,国東市,33.64146106,131.6875272,
4710245,奈多,ﾅﾀ,1,杵築市,33.43705518,131.7117959,
4710280,八代,ﾔｼﾛ,1,速見郡日出町,33.37107528,131.6154669,
4710290,真那井,ﾏﾅｲ,1,杵築市,33.370811,131.604223,
4710300,瀬ノ上,ｾﾉｳｴ,1,速見郡日出町,33.35010191,131.5665721,
4710310,小深江,ｺﾌﾞｶｴ,1,速見郡日出町,33.351645,131.557283,
4710320,豊岡,ﾄﾖｵｶ,1,速見郡日出町,33.36019899,131.5005207,
4710330,神崎,ｺｳｻﾞｷ,1,速見郡日出町,33.243607,131.789488,
4710340,大平,ｵｵﾋﾗ,1,大分市,33.24655256,131.8193855,
4710350,志生木,ｼﾕｳｷ,1,大分市,33.24916877,131.8363857,
4710360,福水,ﾌｸﾐｽﾞ,1,大分市,33.26438234,131.8817414,
4710370,小黒,ｺｸﾞﾛ,1,大分市,33.25421646,131.8968985,
