ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3110003,堺(出島),ｻｶｲ(ﾃﾞｼﾞﾏ),1,堺市,34.573813,135.456346,
3110005,石津,ｲｼﾂﾞ,1,堺市,34.555202,135.443847,
3110010,高石,ﾀｶｲｼ,1,高石市,34.530761,135.430793,
3110020,田尻,ﾀｼﾞﾘ,1,泉南郡田尻町,34.398828,135.286643,
3110030,岡田,ｵｶﾀﾞ,1,泉南市,34.39105917,135.2719547,
3110035,樽井,ﾀﾙｲ,1,泉南市,,,
3110040,西鳥取,ﾆｼﾄｯﾄﾘ,1,阪南市,34.356054,135.231094,
3110050,下荘,ｼﾓｼｮｳ,1,阪南市,34.343833,135.207208,
3110060,淡輪,ﾀﾝﾉﾜ,1,泉南郡岬町,34.33661,135.170823,
3110070,深日,ﾌｹ,1,泉南郡岬町,34.323,135.146658,
3110080,小島,ｺｼﾞﾏ,1,泉南郡岬町,34.313834,135.094441,
3120030,岸和田,ｷｼﾜﾀﾞ,2,岸和田市,34.474933,135.374967,
3120040,佐野,ｻﾉ,2,泉佐野市,34.422159,135.316918,
