ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1410010,大沢(唐桑),ｵｵｻﾜ(ｶﾗｸﾜ),1,気仙沼市,38.963474,141.632292,
1410020,館,ﾀﾃ,1,気仙沼市,38.951252,141.633403,
1410030,岩井沢,ｲﾜｲｻﾜ,1,気仙沼市,38.94904154,141.6364142,
1410040,載鈎,ﾉｾｶｷﾞ,1,気仙沼市,38.945976,141.638959,
1410050,小田浜,ｺﾀﾞﾊﾏ,1,気仙沼市,38.94290538,141.6400307,
1410060,只越,ﾀﾀﾞｺｼ,1,気仙沼市,38.930422,141.634516,
1410070,金取,ｶﾈﾄﾘ,1,気仙沼市,38.92285754,141.6453008,
1410080,石浜(唐桑),ｲｼﾊﾏ(ｶﾗｸﾜ),1,気仙沼市,38.910702,141.648404,
1410090,馬場(唐桑),ﾊﾞﾊﾞ(ｶﾗｸﾜ),1,気仙沼市,38.902925,141.65146,
1410100,笹浜,ｻｻﾊﾏ,1,気仙沼市,38.88817892,141.662905,
1410110,滝浜(唐桑),ﾀｷﾊﾏ(ｶﾗｸﾜ),1,気仙沼市,38.88265,141.663404,
1410120,長浜,ﾅｶﾞﾊﾏ,1,気仙沼市,38.863208,141.662017,
1410130,津本,ﾂﾓﾄ,1,気仙沼市,38.865152,141.658129,
1410140,神止浜,ｶﾄﾞﾏﾘﾊﾏ,1,気仙沼市,38.879595,141.647295,
1410160,宿舞根,ｼｭｸﾓｳﾈ,1,気仙沼市,38.89806146,141.6252741,
1410180,鶴ヶ浦,ﾂﾙｶﾞｳﾗ,1,気仙沼市,38.88249865,141.6116518,
1410200,川原,カワラ,1,気仙沼市,38.8528806,141.5842818,
1410250,杉ノ下,ｽｷﾞﾉｼﾀ,1,気仙沼市,38.82358216,141.5881702,
1410260,磯草,ｲｿｸｻ,1,気仙沼市（大島）,38.86959648,141.6041957,
1410270,長崎,ﾅｶﾞｻｷ,1,気仙沼市（大島）,38.85417261,141.625742,
1410280,横沼,ﾖｺﾇﾏ,1,気仙沼市（大島）,38.83685205,141.6193115,
1410290,駒形,ｺﾏｶﾞﾀ,1,気仙沼市（大島）,38.8407931,141.6163007,
1410300,要害,ﾖｳｶﾞｲ,1,気仙沼市（大島）,38.847098,141.612299,
1410320,大谷,ｵｵﾔ,1,気仙沼市,38.81592787,141.5758897,
1410340,前浜,ﾏｴﾊﾏ,1,気仙沼市,38.801823,141.552585,
1410350,赤牛,ｱｶｳｼ,1,気仙沼市,38.79655493,141.5394405,
1410360,大沢(津谷),ｵｵｻﾜ(ﾂﾔ),1,気仙沼市,38.79323539,141.5301715,
1410370,土台磯,ﾄﾞﾀﾞｲｲｿ,1,気仙沼市,38.78993912,141.5260887,
1410380,二十一浜,ﾆｼﾞｭｳｲﾁﾊﾏ,1,気仙沼市,38.76066127,141.5209795,
1410390,今朝磯,ｹｻｲｿ,1,気仙沼市,38.75745229,141.5275501,
1410400,蔵内,ｸﾗｳﾁ,1,気仙沼市,38.75243896,141.5300976,
1410410,港,ﾐﾅﾄ,1,本吉郡南三陸町,38.740719,141.535922,
1410420,田浦,ﾀﾉｳﾗ,1,本吉郡南三陸町,38.73490662,141.5474891,
1410430,石浜(歌津),ｲｼﾊﾏ(ｳﾀﾂ),1,本吉郡南三陸町,38.73078136,141.5628313,
1410445,ばなな,ﾊﾞﾅﾅ,1,本吉郡南三陸町,38.72103581,141.5590638,
1410460,稲淵,ｲﾅﾌﾞﾁ,1,本吉郡南三陸町,38.710444,141.544535,
1410470,館浜,ﾀﾃﾊﾏ,1,本吉郡南三陸町,38.71377006,141.5621845,
1410490,寄木,ﾖﾘｷ,1,本吉郡南三陸町,38.70736194,141.522251,
1410500,韮浜,ﾆﾗﾉﾊﾏ,1,本吉郡南三陸町,38.691001,141.506205,
1410510,細浦,ﾎｿｳﾗ,1,本吉郡南三陸町,38.693778,141.500373,
1410520,清水,ｼｽﾞ,1,本吉郡南三陸町,32.77476153,132.9565625,
1410530,荒砥,ｱﾗﾄ,1,本吉郡南三陸町,38.67623453,141.4883833,
1410540,平磯,ﾋﾗｲｿ,1,本吉郡南三陸町,38.67794622,141.4752985,
1410550,折立,ｵﾘﾀﾃ,1,本吉郡南三陸町,38.647116,141.441769,
1410560,水戸辺,ﾐﾄﾍﾞ,1,本吉郡南三陸町,38.642949,141.454268,
