ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4810010,都農,ﾂﾉ,1,児湯郡都農町,32.254547,131.574256,
4810020,富田,ﾄﾝﾀﾞ,1,児湯郡新富町,32.045126,131.513156,
4810030,野島,ﾉｼﾏ,1,宮崎市,31.735436,131.468723,
4810040,鶯巣,ｵｵｻ,1,宮崎市,31.71655,131.462057,
4810050,富土,ﾌﾄ,1,日南市,31.69648237,131.4601646,
4810060,宮浦(鵜戸),ﾐﾔｳﾗ(ｳﾄﾞ),1,日南市,31.67179848,131.453126,
4810070,鵜戸,ｳﾄﾞ,1,日南市,31.62240897,131.4531583,
4810080,夫婦浦,ﾒｵﾄｳﾗ,1,日南市,31.495461,131.387626,
4810090,市木,ｲﾁｷ,1,日南市,31.467409,131.374294,
4810110,本城,ﾎﾝｼﾞｮｳ,1,串間市,31.42019,131.234308,
4810120,福島高松,ﾌｸｼﾏﾀｶﾏﾂ,1,串間市（築島）,31.454907,131.168479,
4820010,川南,ｶﾜミﾅﾐ,2,串間市,32.173445,131.55426,
4820020,青島,ｱｵｼﾏ,2,串間市,31.808484,131.484276,
4820030,大堂津,ｵｵﾄﾞｳﾂ,2,児湯郡川南町,31.552955,131.386513,
4820050,南浦,ﾐﾅﾐｳﾗ,2,宮崎市,32.650063,131.767562,
4820060,都井,ﾄｲ,2,日南市,31.388528,131.309024,
4830010,島野浦,ｼﾏﾉｳﾗ,3,延岡市,32.661728,131.819779,
4830020,土々呂,ﾄﾄﾛ,3,串間市,32.51302144,131.696588,
4830030,門川,ｶﾄﾞｶﾞﾜ,3,延岡市（島野浦島）,32.471746,131.664243,
4830040,油津,ｱﾌﾞﾗﾂ,3,延岡市,31.57560371,131.4013718,
4830045,目井津,ﾒｲﾂ,3,東臼杵郡門川町,31.542956,131.389291,
4840010,北浦,ｷﾀｳﾗ,4,日南市,32.696724,131.830888,
4840020,宮之浦,ﾐﾔﾉｳﾗ,4,日南市,31.393528,131.334855,
,,,,,,,
,,,,,,,
