ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2310010,宮崎,ﾐﾔｻﾞｷ,1,下新川郡朝日町,36.97444221,137.5864005,"
"
2310020,入善,ﾆｭｳｾﾞﾝ,1,下新川郡入善町,36.924979,137.426918,
2310025,石田,ｲｼﾀﾞ,1,黒部市,36.86436656,137.4125172,
2310030,高月,ﾀｶﾂｷ,1,滑川市,36.75936643,137.3197577,
2310040,四方,ﾖｶﾀ,1,富山市,36.76040501,137.1924035,
2310050,阿尾,ｱｵ,1,氷見市,36.88326794,136.9955612,
2310060,薮田,ﾔﾌﾞﾀ,1,氷見市,36.89271266,137.006329,
2310070,宇波,ｳﾅﾐ,1,氷見市,36.91067891,137.020276,
2310080,大境,ｵｵｻﾞｶｲ,1,氷見市,36.92112043,137.0296881,
2310090,女良,ﾒﾗ,1,氷見市,36.950522,137.040284,
2320010,黒部,ｸﾛﾍﾞ,2,黒部市,36.88972226,137.4145079,
2320020,経田,ｷｮｳﾃﾞﾝ,2,魚津市,36.853321,137.411923,
2320030,滑川,ﾅﾒﾘｶﾜ,2,滑川市,36.77639757,137.3444983,
2320040,水橋,ﾐｽﾞﾊｼ,2,富山市,36.76017422,137.3047994,
2330010,新湊,ｼﾝﾐﾅﾄ,3,射水市,36.78560154,137.0882013,
2330020,氷見,ﾋﾐ,3,氷見市,36.8607375,136.9950596,
