ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3810010,和田,ﾜﾀﾞ,1,大島郡周防大島町,33.91280419,132.3966151,
3810020,森野,ﾓﾘﾉ,1,大島郡周防大島町,33.91176224,132.3789668,
3810030,日良居,ﾋﾗｲ,1,大島郡周防大島町,33.919929,132.301922,
3810035,安下庄,ｱｹﾞﾉｼｮｳ,1,大島郡周防大島町,33.89339804,132.2977498,
3810040,浮島,ｳｶｼﾏ,1,大島郡周防大島町(浮島),33.96137847,132.3491992,
3810050,椋野,ﾑｸﾉ,1,大島郡周防大島町,33.960478,132.230262,
3810060,前島,ﾏｴｼﾞﾏ,1,大島郡周防大島町(前島),33.998808,132.265535,
3810070,三蒲,ﾐｶﾞﾏ,1,大島郡周防大島町,33.952979,132.211929,
3810080,志佐,ｼｻ,1,大島郡周防大島町,33.91801699,132.1764673,
3810085,出井,ｲｽﾞｲ,1,大島郡周防大島町,,,
3810090,通津,ﾂﾂﾞ,1,岩国市,34.06846268,132.2100729,
3810100,黒島,ｸﾛｼﾏ,1,岩国市(黒島),33.99523844,132.3364129,
3810110,端島,ﾊｼﾏ,1,岩国市(端島),34.03579136,132.3870992,
3810120,由宇,ﾕｳ,1,岩国市,33.99730061,132.2101474,
3810130,神代,ｺｳｼﾞﾛ,1,柳井市,33.97131,132.192209,
3810140,鳴門,ﾅﾙﾄ,1,柳井市,33.95722621,132.1645093,
3810160,伊保庄,ｲﾎﾉｼｮｳ,1,柳井市,33.912703,132.129438,
3810170,阿月,ｱﾂｷ,1,柳井市,33.899372,132.126939,
3810180,平郡,ﾍｲｸﾞﾝ,1,柳井市(平郡島),33.80269797,132.1981352,
3810220,粭大島,ｽｸﾓｵｵｼﾏ,1,周南市,33.98036391,131.766419,
3810230,戸田,ﾍﾀ,1,周南市,34.053512,131.678363,
3810240,大津島,ｵｵﾂﾞｼﾏ,1,周南市(大津島),33.99325224,131.7193036,
3810250,富海,ﾄﾉﾐ,1,防府市,34.04569569,131.6407926,
3810260,牟礼,ﾑﾚ,1,防府市,34.03513673,131.6031779,
3810270,中浦,ﾅｶﾉｳﾗ,1,防府市,34.00590831,131.523406,
3810280,西浦,ﾆｼﾉｳﾗ,1,防府市,34.01198411,131.5107374,
3810290,大道,ﾀﾞｲﾄﾞｳ,1,防府市,34.03012647,131.4688128,
3810300,山口,ﾔﾏｸﾞﾁ,1,山口市,34.00773087,131.4122048,
3810310,相原,ｱｲﾊﾞﾗ,1,山口市,34.04858983,131.3877181,
3810315,阿知須,ｱｼﾞｽ,1,山口市,34.00114122,131.3737776,
3810320,丸尾,ﾏﾙｵ,1,宇部市,33.96892478,131.3547733,
3810330,刈屋,ｶﾘﾔ,1,山陽小野田市,33.961568,131.163136,
3810340,高泊,ﾀｶﾄﾞﾏﾘ,1,山陽小野田市,34.00272873,131.1492717,
3810350,梶,ｶｼﾞ,1,山陽小野田市,34.00013339,131.1363041,
3810360,埴生,ﾊﾌﾞ,1,山陽小野田市,34.036558,131.090362,
3810370,王喜,ｵｳｷ,1,下関市,34.039612,131.061753,
3810380,吉母,ﾖｼﾓ,1,下関市,34.087104,130.879546,
3810390,六連島,ﾑﾂﾚｼﾞﾏ,1,下関市(六連島),33.97473587,130.8674134,
3810400,蓋井島,ﾌﾀｵｲｼﾞﾏ,1,下関市(蓋井島),34.09875686,130.7915714,
