ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1610010,女鹿,ﾒｶﾞ,1,飽海郡遊佐町,39.10465368,139.8763702,
1610020,吹浦,ﾌｸﾗ,1,飽海郡遊佐町,39.06790194,139.8703974,
1610030,油戸,ｱﾌﾞﾗﾄ,1,鶴岡市,38.74467228,139.7083416,
1610040,三瀬,ｻﾝｾﾞ,1,鶴岡市,38.70632749,139.6602422,
1610050,小波渡,ｺﾊﾞﾄ,1,鶴岡市,38.692058,139.644979,
1610060,鈴,ｽｽﾞ,1,鶴岡市,38.661504,139.606372,
1610070,暮坪,ｸﾚﾂﾎﾞ,1,鶴岡市,38.64526454,139.5957954,
1610080,米子,ﾖﾅｺﾞ,1,鶴岡市,38.63879607,139.5931651,
1610090,温福,ｵﾝﾌﾟｸ,1,鶴岡市,38.63102074,139.5887,
1610100,大岩川,ｵｵｲﾜｶﾞﾜ,1,鶴岡市,38.61102015,139.5753479,
1610110,小岩川,ｺｲﾜｶﾞﾜ,1,鶴岡市,38.59025217,139.5628296,
1610120,早田,ﾜｻﾀﾞ,1,鶴岡市,38.57422789,139.5549106,
1620010,由良,ﾕﾗ,2,鶴岡市,38.717611,139.678864,
1620020,堅苔沢,ｶﾀﾉﾘｻﾞﾜ,2,鶴岡市,38.68650419,139.6295874,
1640010,飛島,ﾄﾋﾞｼﾏ,4,酒田市（飛島）,39.186997,139.548575,
