ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3610010,頭島,ｶｼﾗｼﾞﾏ,1,備前市(頭島),34.69897798,134.2830445,
3610020,大多府,ｵｵﾀﾌ,1,備前市(大多府島),34.68539732,134.29617,
3610050,西脇,ﾆｼﾜｷ,1,瀬戸内市,34.59381264,134.1234863,
3610080,阿津,ｱﾂ,1,岡山市,34.59848676,134.0175188,
3610090,北浦,ｷﾀｳﾗ,1,岡山市,34.58961,133.963977,
3610100,郡,ｺｵﾘ,1,岡山市,34.583778,133.95981,
3610110,八浜,ﾊﾁﾊﾏ,1,玉野市,34.554057,133.940369,
3610120,通生,ｶﾖｳ,1,倉敷市,34.461009,133.774552,
3610130,呼松,ﾖﾋﾞﾏﾂ,1,倉敷市,34.508782,133.768441,
3610140,勇崎,ﾕｳｻﾞｷ,1,倉敷市,34.520166,133.658728,
3610150,小原,ｺﾊﾞﾗ,1,倉敷市,34.51104426,133.650627,
3610160,正頭,ｼｮｳﾄｳ,1,笠岡市,34.4665421,133.5604117,
3610170,横江,ﾖｺｴ,1,笠岡市,34.474336,133.522908,
3610190,高島,ﾀｶｼﾏ,1,笠岡市(高島),34.4307283,133.5028511,
3610200,金風呂,ｶﾅﾌﾞﾛ,1,笠岡市(北木島),34.389067,133.528188,
3610210,湛江,ﾀﾀｴ,1,笠岡市(六島),34.30815199,133.5357873,
3620005,穂浪,ﾎﾅﾐ,2,備前市,34.72847651,134.2238875,
3620010,虫明,ﾑｼｱｹ,2,瀬戸内市,34.68350199,134.2156323,
3620015,朝日,ｱｻﾋ,2,瀬戸内市,34.58860575,134.1159525,
3620017,久久井,ｸｸﾞｲ,2,岡山市,34.58495377,134.080737,
3620020,大畠,ｵﾊﾞﾀｹ,2,岡山市,34.443234,133.81205,
3620030,下津井,ｼﾓﾂｲ,2,倉敷市,34.4362577,133.7987081,
3620040,沙美,ｻﾐ,2,倉敷市,34.50386648,133.6405748,
3620050,寄島,ﾖﾘｼﾏ,2,倉敷市,34.490446,133.593735,
3620070,白石島,ｼﾗｲｼｼﾞﾏ,2,倉敷市,34.41001164,133.5184085,
3620080,真鍋島,ﾏﾅﾍﾞｼﾏ,2,浅口市,34.35704255,133.5791934,
,,,,笠岡市(白石島),,,
,,,,笠岡市(真鍋島),,,
