ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1310020,川尻,ｶﾜｼﾘ,1,九戸郡洋野町,40.431915,141.701655,
1310040,鹿糠,ｶﾇｶ,1,九戸郡洋野町,40.394697,141.726377,
1310050,戸類家,ﾍﾙｹ,1,九戸郡洋野町,40.379423,141.741376,
1310060,宿戸,ｼｭｸﾉﾍ,1,九戸郡洋野町,40.369979,141.75332,
1310070,小子内,ｵｺﾅｲ,1,九戸郡洋野町,40.33896731,141.7719672,
1310080,有家,ｳｹﾞ,1,九戸郡洋野町,40.315821,141.781932,
1310090,高家,ｺｳｹﾞ,1,九戸郡洋野町,40.29849251,141.7953468,
1310100,侍浜,ｻﾑﾗｲﾊﾏ,1,久慈市,40.293601,141.796932,
1310160,久慈湊,ｸｼﾞﾐﾅﾄ,1,久慈市,40.20431814,141.8002462,
1310170,舟渡,ﾌﾅﾄﾞ,1,久慈市,40.18085774,141.8197159,
1310190,小袖,ｺｿﾃﾞ,1,久慈市,40.168617,141.849989,
1310210,玉川,ﾀﾏｶﾞﾜ,1,九戸郡野田村,40.08079217,141.8319893,
1310220,下安家,ｼﾓｱｯｶ,1,九戸郡野田村,40.055575,141.852217,
1310240,沢,ｻﾜ,1,下閉伊郡普代村,40.049743,141.870271,
1310250,白井,ｼﾗｲ,1,下閉伊郡普代村,40.03326317,141.8856298,
1310290,黒崎,ｸﾛｻｷ,1,下閉伊郡普代村,40.5127186,139.9448082,
1310305,北山,ｷﾀﾔﾏ,1,下閉伊郡田野畑村,39.959479,141.956102,
1310310,机,ﾂｸｴ,1,下閉伊郡田野畑村,39.95052326,141.958727,
1310330,平井賀,ﾋﾗｲｶﾞ,1,下閉伊郡田野畑村,39.932258,141.938327,
1310335,槇木沢,ﾏｷﾞｻﾜ,1,下閉伊郡田野畑村,39.891987,141.954994,
1310340,須久洞,ｽｸﾄﾞｳ,1,下閉伊郡岩泉町,39.88627462,141.961605,
1310350,小本,ｵﾓﾄ,1,下閉伊郡岩泉町,39.85214089,141.9764532,
1310370,茂師,ﾓｼ,1,下閉伊郡岩泉町,39.83070003,141.9808528,
1310380,小堀内,ｺﾎﾞﾘﾅｲ,1,宮古市,39.788666,141.983886,
1310390,青野滝,ｱｵﾉﾀｷ,1,宮古市,39.767557,141.990276,
1310400,小港,ｺﾐﾅﾄ,1,宮古市,39.75128448,141.9971349,
1310410,樫内,ｶｼﾅｲ,1,宮古市,39.70656805,141.9771016,
1310420,宿,ﾔﾄﾞ,1,宮古市,39.688122,141.968337,
1310430,日出島,ﾋﾃﾞｼﾏ,1,宮古市,39.673679,141.980559,
1310440,蛸の浜,ﾀｺﾉﾊﾏ,1,宮古市,39.651181,141.971394,
1310450,津軽石,ﾂｶﾞﾙｲｼ,1,宮古市,39.59414816,141.9637453,
1310460,白浜(宮古),ｼﾗﾊﾏ(ﾐﾔｺ),1,宮古市,39.61058291,141.9767658,
1310480,仲組,ﾅｶｸﾞﾐ,1,宮古市,39.63563,142.023891,
1310490,音部,ｵﾄﾍﾞ,1,宮古市,39.599245,142.02917,
1310520,千鶏,ﾁｹｲ,1,宮古市,39.529808,142.034173,
1310530,石浜,ｲｼﾊﾏ,1,宮古市,39.522032,142.029452,
1310550,織笠,ｵﾘｶｻ,1,宮古市,39.452871,141.962517,
1310560,小谷鳥,ｺﾔﾄﾞﾘ,1,下閉伊郡山田町,39.42446903,142.014122,
1310580,室浜,ﾑﾛﾊﾏ,1,下閉伊郡山田町,39.343438,141.908638,
1310600,仮宿,ｶﾘﾔﾄﾞ,1,釜石市,39.31513572,141.9469127,
1310610,桑ノ浜,ｸﾜﾉﾊﾏ,1,釜石市,39.30858124,141.9074263,
1310620,嬉石,ｳﾚｲｼ,1,釜石市,39.264558,141.890311,
1310630,平田,ﾍｲﾀ,1,釜石市,39.24706,141.891144,
1310640,白浜(釜石),ｼﾗﾊﾏ(ｶﾏｲｼ),1,釜石市,39.237895,141.921698,
1310650,佐須,ｻｽ,1,釜石市,39.22061051,141.9252932,
1310680,大石,ｵｵｲｼ,1,釜石市,39.1822878,141.8915739,
1310690,千歳,ｾﾝｻﾞｲ,1,釜石市,39.16173997,141.8964388,
1310700,扇洞,ｵｵｷﾞﾎﾗ,1,大船渡市,39.15568,141.846709,
1310710,吉浜,ﾖｼﾊﾏ,1,大船渡市,35.14940991,139.1257155,
1310720,増館,ﾏｽﾀﾞﾃ,1,大船渡市,39.13623847,141.8534778,
1310730,小壁,ｺｶﾍﾞ,1,大船渡市,39.11654527,141.8885115,
1310740,泊,ﾄﾏﾘ,1,大船渡市,39.10774753,141.8117106,
1310750,鬼沢,ｵﾆｻﾞﾜ,1,大船渡市,39.086798,141.811993,
1310760,小石浜,ｺｲｼﾊﾏ,1,大船渡市,39.076799,141.821715,
1310770,砂子浜,ｽﾅｺﾞﾊﾏ,1,大船渡市,39.07420651,141.8385424,
1310780,野野前,ﾉﾉﾏｴ,1,大船渡市,39.052357,141.817549,
,,,,大船渡市,,,
