ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3510010,雲津,ｸﾓﾂﾞ,1,松江市,35.571426,133.28095,
3510020,片江,ｶﾀｴ,1,松江市,35.561703,133.190403,
3510030,稲積,ｲﾅﾂﾞﾐ,1,松江市,35.56198,133.159017,
3510040,野井,ﾉｲ,1,松江市,35.58402106,133.1184023,
3510050,沖泊,ｵｷﾄﾞﾏﾘ,1,松江市,35.603085,133.097076,
3510060,多古,ﾀｺ,1,松江市,35.598086,133.093188,
3510070,野波,ﾉﾅﾐ,1,松江市,35.578644,133.092077,
3510080,大芦,ｵﾜｼ,1,松江市,35.55676688,133.0441944,
3510100,馬渡,ﾏﾜﾀｼ,1,松江市,,,
3510110,本庄,ﾎﾝｼﾞｮｳ,1,松江市,,,
3510120,魚瀬,ｵﾉｾﾞ,1,松江市,35.515591,132.917373,
3510130,平田宍道湖,ﾋﾗﾀｼﾝｼﾞｺ,1,出雲市,,,
3510140,地合,ﾁｺﾞｳ,1,出雲市,35.510313,132.880155,
3510150,唯浦,ﾀﾀﾞｳﾗ,1,出雲市,35.483648,132.796829,
3510160,塩津,ｼｵﾂ,1,出雲市,35.47979671,132.7792828,
3510170,釜浦,ｶﾏｳﾗ,1,出雲市,35.47587,132.754889,
3510180,猪目,ｲﾉﾒ,1,出雲市,35.440874,132.709895,
3510190,鵜峠,ｳﾄﾞ,1,出雲市,35.444484,132.702117,
3510200,鷺浦,ｻｷﾞｳﾗ,1,出雲市,35.441151,132.687397,
3510205,湖陵,ｺﾘｮｳ,1,出雲市,35.333385,132.666846,
3510210,小田,ｵﾀﾞ,1,出雲市,35.277001,132.600188,
3510220,波根東,ﾊﾈﾋｶﾞｼ,1,大田市,35.245058,132.528528,
3510230,柳瀬,ﾔﾅｾﾞ,1,大田市,35.239782,132.519086,
3510240,鳥井,ﾄﾘｲ,1,大田市,35.21756,132.473534,
3510250,友,ﾄﾓ,1,大田市,35.125903,132.377991,
3510260,湯里,ﾕｻﾄ,1,大田市,35.11257,132.362159,
3510270,日祖,ﾋｿ,1,大田市,35.105905,132.354659,
3510280,湯戸,ﾕﾄ,1,大田市,35.080907,132.327997,
3510290,今浦(福浦),ｲﾏｳﾗ(ﾌｸｳﾗ),1,大田市,35.071741,132.318275,
3510300,浅利,ｱｻﾘ,1,江津市,35.038411,132.259392,
3510320,波子,ﾊｼ,1,江津市,34.969527,132.149683,
3510330,津摩,ﾂﾏ,1,浜田市,34.860648,132.013865,
3510340,折居,ｵﾘｲ,1,浜田市,34.826207,131.984424,
3510350,今浦(大麻),ｲﾏｳﾗ(ﾀｲﾏ),1,浜田市,34.817874,131.963315,
3510360,福浦,ﾌｸｳﾗ,1,浜田市,34.80666799,131.9532197,
3510370,古湊,ﾌﾙﾐﾅﾄ,1,浜田市,34.785655,131.932208,
3510380,土田,ﾂﾁﾀﾞ,1,益田市,34.757879,131.889158,
3510390,木部,ｷﾍﾞ,1,益田市,34.73066,131.869437,
3510400,津田,ﾂﾀﾞ,1,益田市,34.727049,131.865549,
3510410,小浜,ｺﾊﾏ,1,益田市,34.67532673,131.7241835,
3510420,布施,ﾌｾ,1,隠岐郡隠岐の島町(島後),36.294121,133.357307,
3510430,大久,ｵｵｸ,1,隠岐郡隠岐の島町(島後),36.252183,133.373974,
3510440,犬来,ｲﾇｸﾞ,1,隠岐郡隠岐の島町(島後),36.217741,133.37092,
3510450,箕浦,ﾐﾉｳﾗ,1,隠岐郡隠岐の島町(島後),36.179411,133.289817,
3510460,蛸木,ﾀｸｷﾞ,1,隠岐郡隠岐の島町(島後),36.161912,133.249822,
3510470,都万,ﾂﾏ,1,隠岐郡隠岐の島町(島後),36.189964,133.2351,
3510480,那久,ﾅｸﾞ,1,隠岐郡隠岐の島町(島後),36.213294,133.195103,
3510490,油井,ﾕｲ,1,隠岐郡隠岐の島町(島後),36.240792,133.242598,
3510500,久見,ｸﾐ,1,隠岐郡隠岐の島町(島後),36.320504,133.230096,
3510510,菱浦,ﾋｼｳﾗ,1,隠岐郡海士町(中ノ島),36.102471,133.081506,
3510520,宇受賀,ｳﾂﾞｶ,1,隠岐郡海士町(中ノ島),36.116914,133.110669,
3510530,高石,ﾀｹｼ,1,隠岐郡海士町(中ノ島),36.09512987,133.1267135,
3510540,多井,ｵｵｲ,1,隠岐郡海士町(中ノ島),36.05545792,133.1001852,
3510550,珍崎,ﾁﾝｻﾞｷ,1,隠岐郡西ノ島町(西ノ島),36.065807,132.985405,
3510560,三度,ﾐﾀﾍﾞ,1,隠岐郡西ノ島町(西ノ島),36.064695,132.955685,
3520010,美保関,ﾐﾎﾉｾｷ,2,松江市,35.561151,133.308447,
3520020,笠浦,ｶｻｳﾗ,2,松江市,35.576145,133.13013,
3520030,瀬崎,ｾｻﾞｷ,2,松江市,35.59005575,133.1153383,
3520040,加賀,ｶｶ,2,松江市,35.56825067,133.0555523,
3520050,御津,ﾐﾂ,2,松江市,35.538091,133.027641,
3520060,小伊津,ｺｲﾂﾞ,2,出雲市,35.503369,132.837103,
3520070,宇龍,ｳﾘｭｳ,2,出雲市,35.430873,132.638234,
3520080,和江,ﾜｴ,2,大田市,35.215061,132.468535,
3520100,仁万,ﾆﾏ,2,大田市,35.156455,132.400765,
3520110,温泉津,ﾕﾉﾂ,2,大田市,35.09311087,132.3433713,
3520120,黒松,ｸﾛﾏﾂ,2,江津市,35.062298,132.312721,
3520130,唐鐘,ﾄｳｶﾞﾈ,2,浜田市,34.941752,132.107743,
3520140,須津,ｽﾂﾞ,2,浜田市,34.773989,131.913877,
3520150,大浜,ｵｵﾊﾏ,2,益田市,34.74326556,131.8720023,
3520160,飯浦,ｲｲﾉｳﾗ,2,益田市,34.673719,131.700843,
3520180,今津,ｲﾏﾂﾞ,2,隠岐郡隠岐の島町(島後),36.176079,133.30926,
3520190,加茂,ｶﾓ,2,隠岐郡隠岐の島町(島後),36.18595288,133.2800657,
3520200,津戸,ﾂﾄﾞ,2,隠岐郡隠岐の島町(島後),36.166911,133.240655,
3520210,豊田,ﾄﾖﾀﾞ,2,隠岐郡海士町(中ノ島),36.104416,133.127613,
3520220,崎,ｻｷ,2,隠岐郡海士町(中ノ島),36.05126941,133.0883991,
3520230,知夫,ﾁﾌﾞ,2,隠岐郡知夫村(知夫里島),36.012758,133.040679,
3530010,浜田,ﾊﾏﾀﾞ,特3,浜田市,34.8947595,132.0666377,
3530020,恵曇,ｴﾄﾓ,3,松江市,35.53279224,132.964994,
3530030,大社,ﾀｲｼﾔ,3,出雲市,35.39708441,132.6624931,
3530040,西郷,ｻｲｺﾞｳ,3,隠岐郡隠岐の島町(島後),36.19945622,133.3323207,
3540010,十六島,ｳｯﾌﾟﾙｲ,4,出雲市,35.4601831,132.7462715,
3540015,中村,ﾅｶﾑﾗ,4,隠岐郡隠岐の島町(島後),36.322173,133.306478,
3540020,浦郷,ｳﾗｺﾞｳ,4,隠岐郡西ノ島町(西ノ島),36.09247,132.994014,
