ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3710010,上ノ浜,ｶﾐﾉﾊﾏ,1,廿日市市,34.29006718,132.2833535,
3710020,梅原,ｳﾒﾊﾗ,1,廿日市市,34.28127389,132.2730987,
3710030,丸石,ﾏﾙｲｼ,1,廿日市市,34.273777,132.259694,
3710035,五日市,ｲﾂｶｲﾁ,1,広島市,34.360991,132.361904,
3710040,世上,ｾｼﾞｮｳ,1,江田島市,34.250172,132.462176,
3710050,大屋,ｵｵﾔ,1,呉市,34.283503,132.517726,
3710060,情島,ﾅｻｹｼﾞﾏ,1,呉市(情島),34.158518,132.570503,
3710070,田原,ﾀﾊﾗ,1,呉市,34.173515,132.498564,
3710080,長谷,ﾅｶﾞﾀﾆ,1,呉市,34.149629,132.530507,
3710090,大地蔵,ｵｵｼﾞｿﾞｳ,1,呉市,34.17415427,132.6594376,
3710100,原,ﾊﾗ,1,呉市,34.165465,132.741321,
3710105,竹原,ﾀｹﾊﾗ,1,竹原市,34.315173,132.874637,
3710120,大芝北,ｵｵｼﾊﾞｷﾀ,1,東広島市,34.2812915,132.8038376,
3710130,大芝南,ｵｵｼﾊﾞﾐﾅﾐ,1,東広島市,34.27034397,132.798704,
3710140,能地,ﾉｳﾁﾞ,1,三原市,34.33573,133.036011,
3710150,須波,ｽﾅﾐ,1,三原市,34.367949,133.084617,
3710160,西浦,ﾆｼｳﾗ,1,尾道市,34.314346,133.149058,
3710170,鏡浦,ｶｶﾞﾐｳﾗ,1,尾道市,34.330456,133.197664,
3710180,大町,ｵｵﾏﾁ,1,尾道市,34.383228,133.222938,
3710190,干汐,ﾋｼｵ,1,尾道市,34.374618,133.217939,
3710200,立花,ﾀﾁﾊﾞﾅ,1,尾道市,34.360175,133.21044,
3710210,串浜,ｸｼﾊﾏ,1,尾道市,34.40812572,133.2720986,
3710220,海老,ｴﾋﾞ,1,尾道市,34.39329519,133.2615499,
3710230,泊,ﾄﾏﾘ,1,尾道市(百島),34.36416628,133.2718414,
3710250,福山,ﾌｸﾔﾏ,1,福山市,34.421284,133.385977,
3720010,阿多田,ｱﾀﾀ,2,大竹市,34.195175,132.313302,
3720020,玖波,ｸﾊﾞ,2,(阿多田島・猪子島),34.254611,132.231642,
3720030,塩屋,ｼｵﾔ,2,大竹市,34.27903191,132.2663126,
3720040,地御前,ｼﾞｺﾞｾﾞﾝ,2,廿日市市,34.338493,132.319964,
3720060,美能,ﾐﾉｳ,2,廿日市市,34.257114,132.382183,
3720070,畑,ﾊﾀ,2,江田島市,34.20351,132.409404,
3720080,深江,ﾌｶｴ,2,江田島市,34.16657,132.449125,
3720090,柿浦,ｶｷｳﾗ,2,江田島市,34.177958,132.472733,
3720100,音戸,ｵﾝﾄﾞ,2,江田島市,34.191569,132.533839,
3720110,倉橋,ｸﾗﾊｼ,2,呉市,34.103801,132.506344,
3720120,安浦,ﾔｽｳﾗ,2,呉市,34.281563,132.755483,
3720140,沖浦,ｵｷｳﾗ,2,呉市,34.212685,132.895473,
3720150,豊島,ﾄﾖｼﾏ,2,豊田郡大崎上島町,34.178243,132.798259,
3720160,吉和,ﾖｼﾜ,2,(大崎上島),34.39470632,133.1635483,
3720170,平,ﾋﾗ,2,呉市（大崎下島・豊,34.377676,133.378201,
3720180,走,ﾊｼﾘ,2,島・斎島・尾久比島）,34.348515,133.433753,
3720190,横田,ﾖｺﾀ,2,尾道市,34.352955,133.289599,
3720200,箱崎,ﾊｺｻﾞｷ,2,福山市,34.35564905,133.337067,
3730010,草津,ｸｻﾂ,3,福山市(走島),34.364046,132.400789,
,,,,,,,
,,,,,,,
,,,,,,,
