ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3910010,碁の浦,ｺﾞﾉｳﾗ,1,鳴門市,34.20862522,134.4435613,
3910020,三津,ﾐﾂ,1,鳴門市,34.20823082,134.4644253,
3910030,大浦,ｵｵｳﾗ,1,鳴門市,34.226608,134.52505,
3910040,櫛木,ｸｼｷ,1,鳴門市,34.22261273,134.5599221,
3910050,日出,ﾋｭｳﾃﾞ,1,鳴門市,34.22491442,134.5723762,
3910060,撫佐,ﾑｻ,1,鳴門市,34.2312916,134.6077514,
3910070,室,ﾑﾛ,1,鳴門市,34.24032827,134.6167454,
3910080,亀浦,ｶﾒｳﾗ,1,鳴門市,34.21477152,134.6332291,
3910100,大潟,ｵｵｶﾞﾀ,1,阿南市,33.88507001,134.6733103,
3910110,小杭,ｺｸﾞｲ,1,阿南市,33.84583537,134.6691984,
3910120,後戸,ｳｼﾛﾄﾞ,1,阿南市,33.84485245,134.6408231,
3910130,曲,ﾏｶﾞﾘ,1,阿南市,33.84815722,134.6770625,
3910150,伊座利,ｲｻﾞﾘ,1,海部郡美波町,33.800826,134.669217,
3910160,恵比須浜,ｴﾋﾞｽﾊﾏ,1,海部郡美波町,33.74013643,134.5547966,
3910170,出羽島,ﾃﾊﾞｼﾞﾏ,1,海部郡牟岐町(出羽島,33.63769502,134.4232922,
3910180,竹ヶ島,ﾀｹｶﾞｼﾏ,1,海部郡海陽町,33.54536974,134.3155639,
3920010,粟田,ｱﾜﾀ,2,鳴門市,34.224664,134.54727,
3920020,瀬戸,ｾﾄ,2,鳴門市,34.22410383,134.5914099,
3920025,土佐泊,ﾄｻﾄﾞﾏﾘ,2,鳴門市,34.190781,134.619486,
3920030,粟津,ｱﾜﾂﾞ,2,鳴門市,34.148564,134.612266,
3920040,長原,ﾅｶﾞﾊﾗ,2,板野郡松茂町,34.11427886,134.5986234,
3920050,今津,ｲﾏﾂﾞ,2,阿南市,33.97071114,134.6620232,
3920060,中林,ﾅｶﾊﾞﾔｼ,2,阿南市,33.902482,134.691711,
3920070,椿泊,ﾂﾊﾞｷﾄﾞﾏﾘ,2,阿南市,33.843878,134.715323,
3920080,由岐,ﾕｷ,2,海部郡美波町,33.769995,134.591448,
3920090,鞆奥,ﾄﾓｵｸ,2,海部郡海陽町,33.591954,134.364806,
3920100,宍喰,ｼｼｸｲ,2,海部郡海陽町,33.562234,134.312589,
3930010,牟岐,ﾑｷﾞ,3,海部郡牟岐町,33.665003,134.422576,
3940010,伊島,ｲｼﾏ,4,阿南市(伊島),33.844991,134.805592,
