ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4110010,二名,ﾌﾀﾅ,1,四国中央市,34.03417735,133.5895966,
4110020,豊岡,ﾄﾖｵｶ,1,四国中央市,33.97270325,133.4805857,
4110030,長津,ﾅｶﾞﾂ,1,四国中央市,33.974391,133.470984,
4110040,蕪崎,ｶﾌﾞﾗｻｷ,1,四国中央市,33.986611,133.430154,
4110050,天満,ﾃﾝﾏ,1,四国中央市,33.987722,133.412377,
4110060,沢津,ｻﾜﾂﾞ,1,新居浜市,33.98385425,133.2920179,
4110070,垣生,ﾊﾌﾞ,1,新居浜市,33.991886,133.318775,
4110080,桜井,ｻｸﾗｲ,1,今治市,34.022433,133.043798,
4110090,来島,ｸﾙｼﾏ,1,今治市（来島）,34.117421,132.970469,
4110100,小島,ｵｼﾏ,1,今治市（小島）,34.122975,132.978801,
4110110,馬島,ｳﾏｼﾏ,1,今治市（馬島）,34.11613319,132.9904075,
4110120,波方,ﾅﾐｶﾀ,1,今治市,34.129085,132.949358,
4110130,亀岡,ｶﾒｵｶ,1,今治市,34.056869,132.873534,
4110140,田の尻,ﾀﾉｼﾘ,1,今治市,34.02170228,132.8153759,
4110150,篠塚,ｼﾉﾂﾞｶ,1,越智郡上島町（魚島）,34.179087,133.322102,
4110160,高井神,ﾀｶｲｶﾐ,1,越智郡上島町（高井神島）,34.19291907,133.2738396,
4110170,江ノ島,ｴﾉｼﾏ,1,越智郡上島町（江ノ島）,,,
4110225,弓削,ﾕｹﾞ,1,越智郡上島町,,,
4110230,岩城,ｲﾜｷﾞ,1,（弓削島・豊島・佐島）,34.24491,133.147949,
4110240,北浦(伯方),ｷﾀｳﾗ(ﾊｶﾀ),1,越智郡上島町,34.231299,133.107119,
4110250,友浦,ﾄﾓｳﾗ,1,（岩城島・津波島）,34.15250304,133.083146,
4110260,余所国,ﾖｿｸﾆ,1,今治市,34.19231312,133.0606665,
4110270,泊(大山),ﾄﾏﾘ(ｵｵﾔﾏ),1,今治市,34.17162343,133.0316212,
4110280,椋名,ﾑｸﾅ,1,今治市,34.13853,133.019075,
4110290,下田水,ｼﾀﾀﾞﾐ,1,今治市,34.12701685,133.0213048,
4110300,南浦,ﾐﾅﾐｳﾗ,1,今治市,34.113533,133.039074,
4110310,志津見,ｼﾂﾐ,1,今治市,34.134364,133.061293,
4110320,津島,ﾂｼﾏ,1,今治市,34.15447457,133.0049756,
4110330,盛,ｻｶﾘ,1,今治市,34.2946589,133.0276724,
4110340,肥海,ﾋｶﾞｲ,1,今治市（津島）,34.282402,132.981574,
4110350,台,ｳﾃﾅ,1,今治市,34.2380687,132.990292,
4110360,野々江,ﾉﾉｴ,1,今治市,34.22444441,132.9878802,
4110370,口総,ｸﾁｽﾎﾞ,1,今治市,34.22239029,132.9620577,
4110380,宗方,ﾑﾅｶﾀ,1,今治市,34.204354,132.950468,
4110390,城谷,ｼﾞｮｳﾉﾀﾆ,1,今治市,34.18298177,132.8914172,
4110400,小大下,ｺｵｹﾞ,1,今治市,34.19122599,132.8989928,
4110410,浅海,ｱｻﾅﾐ,1,今治市（岡村島）,34.01104,132.801598,
4110420,大浦,ｵｵｳﾗ,1,今治市（小大下島）,33.999652,132.772156,
4110430,柳原,ﾔﾅｷﾞﾊﾗ,1,松山市,33.954657,132.769379,
4110440,磯河内,ｲｿｺｳﾁ,1,松山市,33.93046258,132.7602452,
4110450,小川,ｵｶﾞﾜ,1,松山市,33.926327,132.758826,
4110455,安居島,ｱｲｼﾞﾏ,1,松山市,34.06862993,132.7058152,
4110460,堀江,ﾎﾘｴ,1,松山市,33.9066383,132.7464674,
4110470,高浜,ﾀｶﾊﾏ,1,松山市（安居島）,33.89411632,132.7069054,
4110480,泊,ﾄﾏﾘ,1,松山市,33.881607,132.680224,
4110490,御手洗,ﾐﾀﾗｲ,1,松山市,33.87387957,132.6712072,
4110500,鷲ヶ巣,ﾜｼｶﾞｽ,1,松山市,33.90265586,132.6600903,
4110510,北浦,ｷﾀｳﾗ,1,松山市,33.91091961,132.6776463,
4110520,馬磯,ｳﾏｲｿ,1,松山市,33.923826,132.697443,
4110530,釣島,ﾂﾙｼﾏ,1,松山市,33.89400914,132.6402576,
4110540,長師,ﾅｶﾞｼ,1,松山市,33.956598,132.623282,
4110550,神ノ浦,ｺｳﾉｳﾗ,1,松山市（中島）,33.94968554,132.6055433,
4110560,睦月,ﾑﾂﾞｷ,1,松山市（睦月島）,33.95621682,132.6667648,
4110570,野忽那,ﾉｸﾞﾂﾅ,1,松山市（野忽那島）,33.972708,132.689386,
4110580,上怒和,ｶﾐﾇﾜ,1,松山市（怒和島）,33.986593,132.558286,
4110590,元怒和,ﾓﾄﾇﾜ,1,松山市（怒和島）,33.97697307,132.5390757,
4110600,津和地,ﾂﾜｼﾞ,1,松山市（津和地島）,33.98169711,132.5142284,
4110610,二神,ﾌﾀｶﾞﾐ,1,松山市（二神島）,33.933821,132.539679,
4110620,由利,ﾕﾘ,1,松山市（由利島）,33.85353654,132.523946,
4110630,饒,ﾆｮｳ,1,松山市（中島）,33.98727649,132.6057093,
4110640,森,ﾓﾘ,1,伊予市,33.744957,132.678561,
4110650,高野川,ｺｳﾉｶﾜ,1,伊予市,33.70852825,132.6595653,
4110660,喜多,ｷﾀ,1,大洲市,33.634966,132.524689,
4110670,肱川口,ﾋｼﾞｶﾜｸﾞﾁ,1,大洲市,33.60879005,132.4817532,
4110675,沖浦,ｵｷｳﾗ,1,大洲市,33.60977818,132.4741883,
4110680,須沢,ｽｻﾜ,1,大洲市,33.59037893,132.4564996,
4110690,出海,ｲｽﾞﾐ,1,大洲市,33.5592746,132.4326612,
4110700,青島,ｱｵｼﾏ,1,大洲市（青島）,33.735787,132.4883,
4110725,磯津,ｲｿﾂ,1,八幡浜市,,,
4110730,西町,ﾆｼﾏﾁ,1,八幡浜市,33.46890783,132.379671,
4110740,川之石,ｶﾜﾉｲｼ,1,八幡浜市,33.46737591,132.3979078,
4110750,伊方越,ｲｶﾀｺﾞｼ,1,西宇和郡伊方町,33.503866,132.341654,
4110770,鳥津,ﾄﾘﾂﾞ,1,西宇和郡伊方町,33.48022232,132.2855708,
4110780,大成,ｵｵﾅﾙ,1,西宇和郡伊方町,33.4744269,132.2769269,
4110790,田之浦,ﾀﾉｳﾗ,1,西宇和郡伊方町,33.46237085,132.2897594,
4110800,九丁,ｸﾁｮｳ,1,西宇和郡伊方町,33.46990902,132.3021972,
4110810,伊方,ｲｶﾀ,1,西宇和郡伊方町,33.48439203,132.3481277,
4110820,足成,ｱｼﾅﾙ,1,西宇和郡伊方町,33.47402717,132.2677678,
4110830,西小島,ﾆｼｺｼﾞﾏ,1,西宇和郡伊方町,33.44501577,132.1957046,
4110840,田部,ﾀﾌﾞ,1,西宇和郡伊方町,33.42880909,132.175651,
