ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2210010,中浜,ﾅｶﾊﾏ,1,村上市,31.574886,130.778233,
2210020,府屋,ﾌﾔ,1,村上市,38.50902933,139.523898,
2210040,脇川,ﾜｷｶﾞﾜ,1,村上市,38.43517898,139.4820154,
2210050,桑川,ｸﾜｶﾞﾜ,1,村上市,38.38100216,139.4593061,
2210060,荒川,ｱﾗｶﾜ,1,村上市,38.15221024,139.4075122,
2210070,釜谷,ｶﾏﾔ,1,岩船郡粟島浦村(粟島),38.44778771,139.2217942,
2210080,松塚,ﾏﾂﾂﾞｶ,1,新発田市,38.04254268,139.3033228,
2210090,松浜,ﾏﾂﾊﾏ,1,新潟市,37.954629,139.137002,
2210100,新川,ｼﾝｶﾜ,1,新潟市,32.903342,130.478226,
2210105,巻,ﾏｷ,1,新潟市,37.81012621,138.8340129,
2210110,石地,ｲｼｼﾞ,1,柏崎市,37.518832,138.654564,
2210120,高浜,ﾀｶﾊﾏ,1,柏崎市,37.48142833,138.6166913,
2210130,荒浜,ｱﾗﾊﾏ,1,柏崎市,37.40849236,138.5752661,
2210135,鯨波,ｸｼﾞﾗﾅﾐ,1,柏崎市,37.35660354,138.5098891,
2210140,笠島,ｶｻｼﾏ,1,柏崎市,37.336904,138.466532,
2210143,上越市柿崎,ｼﾞｮｳｴﾂｼｶｷｻﾞｷ,1,上越市,37.270799,138.374599,
2210144,上越市大潟,ｼﾞｮｳｴﾂｼｵｵｶﾞﾀ,1,上越市,37.23648243,138.3303579,
2210145,有間川,ｱﾘﾏｶﾞﾜ,1,上越市,37.16481505,138.1400459,
2210150,鬼舞,ｷﾌﾞ,1,糸魚川市,37.09285112,137.9661028,
2210160,大和川,ﾔﾏﾄｶﾞﾜ,1,糸魚川市,37.05705863,137.8964152,
2210165,親不知,ｵﾔｼﾗｽﾞ,1,糸魚川市,37.00463847,137.7284107,
2210180,関,ｾｷ,1,佐渡市（佐渡島）,38.2529132,138.4134453,
2210200,片辺,ｶﾀﾍﾞ,1,佐渡市（佐渡島）,38.1522782,138.3003831,
2210210,北狄,ｷﾀｴﾋﾞｽ,1,佐渡市（佐渡島）,38.09412672,138.2545875,
2210230,相川,ｱｲｶﾜ,1,佐渡市（佐渡島）,38.04131322,138.234219,
2210240,高瀬,ﾀｺｾ,1,佐渡市（佐渡島）,37.99277711,138.2344539,
2210260,沢根,ｻﾜﾈ,1,佐渡市（佐渡島）,38.005711,138.282908,
2210270,真野,ﾏﾉ,1,佐渡市（佐渡島）,37.95768584,138.3352548,
2210280,大立,ｵｵﾀﾞﾂ,1,佐渡市（佐渡島）,37.925442,138.294022,
2210290,西三川,ﾆｼﾐｶﾜ,1,佐渡市（佐渡島）,37.898501,138.28708,
2210300,亀脇,ｶﾒﾜｷ,1,佐渡市（佐渡島）,37.87403889,138.2841635,
2210310,江積,ｴｯﾂﾐ,1,佐渡市（佐渡島）,37.83617257,138.2243685,
2210316,内岬,ｳﾁﾐｻｷ,1,佐渡市（佐渡島）,37.81637343,138.2152815,
2210320,羽茂,ﾊﾓﾁ,1,佐渡市（佐渡島）,37.82544717,138.3352754,
2210323,上浦,ｶﾐｳﾗ,1,佐渡市（佐渡島）,33.202502,131.86226,
2210325,赤泊,ｱｶﾄﾞﾏﾘ,1,佐渡市（佐渡島）,37.87086328,138.4154491,
2210330,多田,ｵｵﾀﾞ,1,佐渡市（佐渡島）,37.911005,138.481228,
2210340,豊岡,ﾄﾖｵｶ,1,佐渡市（佐渡島）,37.97685171,138.5211829,
2210355,大川,ｵｵｶﾞﾜ,1,佐渡市（佐渡島）,38.08111538,138.5466266,
2210360,入桑,ｲﾘｸﾜ,1,佐渡市（佐渡島）,38.07787388,138.5342386,
2210370,椎泊,ｼｲﾄﾞﾏﾘ,1,佐渡市（佐渡島）,38.07214872,138.5010597,
2210375,羽吉,ﾊﾖｼ,1,佐渡市（佐渡島）,38.12054891,138.4382831,
2210377,和木,ﾜｷ,1,佐渡市（佐渡島）,38.16291916,138.4631703,
2210380,浦川,ｳﾗｶﾞﾜ,1,佐渡市（佐渡島）,38.20142184,138.4894876,
2210390,黒姫,ｸﾛﾋﾒ,1,佐渡市（佐渡島）,38.22635611,138.4961731,
2210395,北小浦,ｷﾀｺｳﾗ,1,佐渡市（佐渡島）,38.27506933,138.509002,
2210400,真更川,ﾏｻﾗｶﾞﾜ,1,佐渡市（佐渡島）,38.29089485,138.4415614,
2220010,寝屋,ﾈﾔ,2,村上市,38.48504444,139.5080102,
2220020,間瀬,ﾏｾﾞ,2,新潟市,37.741311,138.796208,
2220030,出雲崎,ｲｽﾞﾓｻﾞｷ,2,三島郡出雲崎町,37.5453894,138.6857155,
2220040,名立,ﾅﾀﾞﾁ,2,上越市,37.16789593,138.0881366,
