ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2010010,泉津,ｾﾝｽﾞ,1,大島町（大島）,34.784163,139.414609,
2010020,差木地,ｻｼｷｼﾞ,1,大島町（大島）,34.681398,139.412946,
2010030,野増,ﾉﾏｼ,1,大島町（大島）,34.73139,139.353505,
2010040,元町,ﾓﾄﾏﾁ,1,大島町（大島）,34.7475,139.352671,
2010050,岡田,ｵｶﾀ,1,大島町（大島）,34.79051857,139.3861982,
2010060,羽伏,ﾊﾌﾞｼ,1,新島村（新島）,34.396148,139.28269,
2010070,若郷,ﾜｶｺﾞｳ,1,新島村（新島）,34.416145,139.27519,
2010080,野伏,ﾉﾌﾞｼ,1,新島村（式根島）,34.333653,139.215198,
2010090,小浜,ｺﾊﾏ,1,新島村（式根島）,34.330597,139.222697,
2010100,大久保,ｵｵｸﾎﾞ,1,三宅村（三宅島）,34.12261866,139.5077745,
2010110,湯の浜,ﾕﾉﾊﾏ,1,三宅村（三宅島）,34.124517,139.532124,
2010120,伊ヶ谷,ｲｶﾞﾔ,1,三宅村（三宅島）,34.10416765,139.4928245,
2010130,出鼻,ﾃﾞﾊﾞﾅ,1,八丈町（八丈島）,33.1579175,139.7516171,
2010140,洞輪沢,ﾎﾞﾗﾜｻﾞﾜ,1,八丈町（八丈島）,33.075196,139.839915,
2010150,中ノ郷,ﾅｶﾉｺﾞｳ,1,八丈町（八丈島）,33.058808,139.814917,
2010170,ナツマド,ﾅﾂﾏド,1,八丈町（八丈島）,33.14463,139.738809,
2020010,坪田,ﾂﾎﾞﾀ,2,三宅村（三宅島）,34.056696,139.5444592,
2040010,阿古,ｱｺ,4,三宅村（三宅島）,34.06930787,139.4788462,
2040020,神湊,ｶﾐﾅﾄ,4,八丈町（八丈島）,33.130466,139.805749,
2040030,八重根,ﾔｴﾈ,4,八丈町（八丈島）,33.09851752,139.77607,
2040040,三浦,ﾐｳﾗ,4,神津島村（神津島）,34.20061,139.154931,
2040050,二見,ﾌﾀﾐ,4,小笠原村父島,27.09391639,142.2030356,
2040060,母島,ﾊﾊｼﾞﾏ,4,小笠原村母島,26.640354,142.158545,
