ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
5010030,東,ﾋｶﾞｼ,1,国頭郡東村,26.62780755,128.165849,
5010035,慶佐次,ｹﾞｻｼ,1,国頭郡東村,26.59846743,128.13632,
5010038,汀間,ﾃｲﾏ,1,名護市,26.55122,128.063018,
5010040,辺野古,ﾍﾉｺ,1,名護市,26.519001,128.034132,
5010045,宜野座,ｷﾞﾉｻﾞ,1,国頭郡宜野座村,26.476504,127.991081,
5010050,漢那,ｶﾝﾅ,1,国頭郡宜野座村,26.47253731,127.9567654,
5010060,照間,ﾃﾙﾏ,1,うるま市,26.34338122,127.8888082,
5010070,池味,ｲｹﾐ,1,うるま市,26.376412,127.9864959,
5010080,桃原,ﾄｳﾊﾞﾙ,1,うるま市,26.3528351,127.9751366,
5010100,浜,ﾊﾏ,1,うるま市,26.32772115,127.9527185,
5010110,比嘉,ﾋｶﾞ,1,うるま市,26.31414836,127.9618043,
5010120,津堅,ﾂｹﾝ,1,うるま市,26.24343498,127.9366334,
5010130,南原,ﾐﾅﾐﾊﾗ,1,うるま市,26.32749562,127.8733623,
5010140,泡瀬,ｱﾜｾ,1,沖縄市,26.32335729,127.8383454,
5010150,中城浜,ﾅｶｸﾞｽｸﾊﾏ,1,中頭郡中城村,26.253192,127.793879,
5010160,当添,ﾄｳｿﾞｴ,1,島尻郡与那原町,26.189864,127.774159,
5010180,志喜屋,ｼｷﾔ,1,南城市,26.14740261,127.8066758,
5010190,久高,ｸﾀﾞｶ,1,南城市,26.158203,127.884429,
5010200,奥武,ｵｸﾀｹ,1,南城市,26.132094,127.774161,
5010210,港川,ﾐﾅﾄｶﾞﾜ,1,島尻郡八重瀬町,26.124316,127.761107,
5010220,喜屋武,ｷｬﾝ,1,糸満市,26.095429,127.658893,
5010230,与根,ﾖﾈ,1,豊見城市,26.164033,127.653338,
5010240,壷川,ﾂﾎﾞｶﾜ,1,那覇市,26.20417652,127.6785946,
5010250,牧港,ﾏｷﾐﾅﾄ,1,浦添市,26.271244,127.722774,
5010255,宜野湾,ｷﾞﾉﾜﾝ,1,宜野湾市,26.28541,127.743327,
5010260,浜川,ﾊﾏｶﾜ,1,中頭郡北谷町,26.31825498,127.7545275,
5010270,嘉手納,ｶﾃﾞﾅ,1,中頭郡嘉手納町,26.3624295,127.7401531,
5010280,都屋,ﾄﾔ,1,中頭郡読谷村,26.38586794,127.7245588,
5010285,真栄田,ﾏｴﾀﾞ,1,国頭郡恩納村,26.44059835,127.7626029,
5010290,前兼久,ﾏｴｶﾞﾈｸ,1,国頭郡恩納村,26.448172,127.802486,
5010295,恩納,ｵﾝﾅ,1,国頭郡恩納村,26.50107531,127.8560584,
5010298,瀬良垣,ｾﾗｶﾞｷ,1,国頭郡恩納村,,,
5010300,許田,ｷｮﾀﾞ,1,名護市,26.541497,127.960805,
5010320,浜崎,ﾊﾏｻｷ,1,国頭郡本部町,26.645652,127.879143,
5010330,具志,ｸﾞｼ,1,国頭郡伊江村,26.705922,127.807204,
5010340,西崎,ﾆｼｻﾞｷ,1,国頭郡伊江村,26.708421,127.761374,
5010345,新里,ｼﾝｻﾞﾄ,1,国頭郡本部町,26.70469264,127.8959903,
5010350,運天,ｳﾝﾃﾝ,1,国頭郡今帰仁村,26.69269039,127.9948801,
5010360,古宇利,ｺｳﾘ,1,国頭郡今帰仁村,26.69325523,128.0192743,
5010365,屋我地,ﾔｶﾞｼﾞ,1,名護市,,,
5010370,仲尾次,ﾅｶｵｼ,1,名護市,26.628433,128.026353,
5010380,塩屋,ｼｵﾔ,1,国頭郡大宜味村,26.67071183,128.1031589,
5010390,国頭浜,ｸﾆｶﾞﾐﾊﾏ,1,国頭郡国頭村,26.722037,128.158563,
5010400,辺土名,ﾍﾝﾄﾅ,1,国頭郡国頭村,26.748701,128.177448,
5010410,伊是名,ｲｾﾞﾅ,1,島尻郡伊是名村,26.912847,127.937744,
5010425,伊平屋,ｲﾍﾔ,1,島尻郡伊平屋村,27.017003,127.944131,
5010427,田名,ﾀﾞﾅ,1,島尻郡伊平屋村,27.065886,127.971627,
5010430,渡名喜,ﾄﾅｷ,1,島尻郡渡名喜村,26.372615,127.140322,
5010440,阿波連,ｱﾊﾚﾝ,1,島尻郡渡嘉敷村,26.167361,127.347529,
5010450,儀間,ｷﾞﾏ,1,島尻郡久米島町,26.33067,126.765911,
5010460,鳥島,ﾄﾘｼﾏ,1,島尻郡久米島町,26.344834,126.748134,
