ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2910010,堅田,ｶﾀﾀ,1,大津市,,,
2910020,和邇,ﾜﾆ,1,大津市,,,
2910030,北小松,ｷﾀｺﾏﾂ,1,大津市,,,
2910040,大溝,ｵｵﾐｿﾞ,1,高島市,,,
2910050,北舟木,ｷﾀﾌﾅｷ,1,高島市,,,
2910060,今津,ｲﾏﾂﾞ,1,高島市,,,
2910070,浜分,ﾊﾏﾌﾞﾝ,1,高島市,,,
2910080,知内,ﾁﾅｲ,1,高島市,,,
2910090,海津,ｶｲﾂﾞ,1,高島市,,,
2910100,大浦,ｵｵｳﾗ,1,長浜市,,,
2910110,尾上,ｵﾉｴ,1,長浜市,,,
2910120,南浜,ﾐﾅﾐﾊﾏ,1,長浜市,,,
2910130,磯,ｲｿ,1,米原市,,,
2910140,宇曽川,ｳｿｶﾞﾜ,1,彦根市,,,
2910150,柳川,ﾔﾅｶﾞﾜ,1,彦根市,,,
2910160,沖之島,ｵｷﾉｼﾏ,1,近江八幡市,,,
2910170,菖蒲,ｱﾔﾒ,1,野洲市,,,
2910180,木浜,ｺﾉﾊﾏ,1,守山市,,,
2910190,志那,ｼﾅ,1,草津市,,,
2910200,北山田,ｷﾀﾔﾏﾀﾞ,1,草津市,,,
