ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4610010,一部,ｲﾁﾌﾞ,1,荒尾市,32.97104644,130.4303661,
4610020,新川,ｼﾝｶﾜ,1,玉名市,37.866299,138.922025,
4610030,玉名,ﾀﾏﾅ,1,玉名郡長洲町,32.87904771,130.5228111,
4610040,横島,ﾖｺｼﾏ,1,玉名市,32.84318022,130.5445217,
4610050,四番,ﾖﾝﾊﾞﾝ,1,玉名市,32.753362,130.603774,
4610060,海路口,ｳｼﾞｸﾞﾁ,1,熊本市,32.74480555,130.6047019,
4610065,天明,ﾃﾝﾒｲ,1,熊本市,32.71694506,130.6100241,
4610068,網田,ｵｳﾀﾞ,1,熊本市,32.667259,130.537949,
4610080,小田良,ｵﾀﾞﾗ,1,宇土市,32.64976,130.491286,
4610090,大田尾,ｵｵﾀｵ,1,宇城市,32.6405978,130.4730972,
4610100,田井ノ浦,ﾀｲﾉｳﾗ,1,宇城市,32.59921,130.479622,
4610110,内潟片島,ｳﾁｶﾞﾀｶﾀｼﾏ,1,宇城市,32.590045,130.49101,
4610120,戸馳,ﾄﾊﾞｾ,1,宇城市,32.5956,130.509897,
4610130,郡浦,ｺｳﾉｳﾗ,1,宇城市,32.620875,130.531006,
4610140,御船,ﾐﾌﾈ,1,宇城市,32.622264,130.550449,
4610150,松合,ﾏﾂｱｲ,1,宇城市,32.62738197,130.60586,
4610160,植柳,ｳﾔﾅｷﾞ,1,宇城市,32.485059,130.582671,
4610170,二見,ﾌﾀﾐ,1,八代市,32.418121,130.545176,
4610180,井牟田,ｲﾑﾀ,1,八代市,32.397844,130.523512,
4610190,杉迫,ｽｷﾞｻｺ,1,葦北郡芦北町,32.373959,130.497682,
4610200,田浦,ﾀﾉｳﾗ,1,葦北郡芦北町,32.35796051,130.5001148,
4610210,海浦,ｳﾐﾉｳﾗ,1,葦北郡芦北町,32.330629,130.481018,
4610220,牛ノ水,ｳｼﾉﾐｽﾞ,1,葦北郡芦北町,32.2923,130.469908,
4610230,大矢,ｵｵﾔ,1,葦北郡芦北町,32.28846778,130.4653406,
4610240,福浦,ﾌｸｳﾗ,1,葦北郡芦北町,32.285079,130.461021,
4610245,福浜,ﾌｸﾊﾏ,1,葦北郡津奈木町,32.256747,130.430191,
4610250,大泊,ｵｵﾄﾞﾏﾘ,1,葦北郡津奈木町,32.239528,130.432969,
4610260,湯堂,ﾕﾄﾞｳ,1,葦北郡津奈木町,32.1812,130.376309,
4610270,茂道,ﾓﾄﾞｳ,1,水俣市,32.176755,130.365199,
4610280,白濤(登立),ｼﾗﾄ(ﾉﾎﾞﾘﾀﾃ),1,水俣市,32.615041,130.43046,
4610290,串,ｸｼ,1,上天草市,32.608374,130.416016,
4610300,大手原,ｵｵﾃﾊﾞﾗ,1,上天草市,32.598931,130.405462,
4610310,七ツ割,ﾅﾅﾂﾜﾘ,1,上天草市,32.590876,130.395463,
4610320,野釜,ﾉｶﾏ,1,上天草市,32.58171,130.389353,
4610350,貝場,ｶｲﾊﾞ,1,上天草市,32.553659,130.453237,
4610360,鷺浦,ｻｷﾞﾉｳﾗ,1,上天草市,32.548382,130.464348,
4610370,千束,ｾﾝｿﾞｸ,1,上天草市,32.56446718,130.4631884,
4610380,蔵蔵,ｿﾞｳｿﾞｳ,1,上天草市,32.575602,130.483789,
4610385,樋合,ﾋｱｲ,1,上天草市,32.539493,130.401019,
4610390,楠甫,ｸｽﾎﾞ,1,上天草市,32.51712977,130.3829516,
4610400,大浦,ｵｵｳﾗ,1,天草市,32.528383,130.364357,
4610410,須子,ｽｼﾞ,1,天草市,32.515884,130.339359,
4610420,美ノ越,ﾐﾉｺｴ,1,天草市,32.503384,130.300474,
4610430,島子,ｼﾏｺﾞ,1,天草市,32.483386,130.264367,
4610440,志柿,ｼｶｷ,1,天草市,32.46388292,130.2370083,
4610450,御領,ｺﾞﾘｮｳ,1,天草市,32.518381,130.199372,
4610460,大島(御領),ｵｵｼﾏ(ｺﾞﾘｮｳ),1,天草市,,,
4610470,宮津,ﾐﾔﾂﾞ,1,天草市,32.55171,130.177706,
4610480,引坂,ﾋｷｻﾞｶ,1,天草市,32.551709,130.159375,
4610490,西川内,ﾆｼｶﾜﾁ,1,天草市,32.541709,130.107712,
4610500,坂瀬川,ｻｶｾｶﾞﾜ,1,天草郡苓北町,32.53026467,130.0905255,
4610510,志岐,ｼｷ,1,天草郡苓北町,32.517267,130.050496,
4610530,都呂々,ﾄﾛﾛ,1,天草郡苓北町,32.466717,130.034943,
4610540,小田床,ｵﾀﾞﾄｺ,1,天草市,32.402557,130.000504,
4610550,軍ヶ浦,ｲｸｻｶﾞｳﾗ,1,天草市,32.311734,130.005506,
4610560,魚貫崎,ｵﾆｷｻﾞｷ,1,天草市,32.24345823,129.9839178,
4610570,茂串,ﾓｸﾞｼ,1,天草市,32.217578,130.007452,
4610580,大島(牛深),ｵｵｼﾏ(ｳｼﾌﾞｶ),1,天草市（大島）,,,
4610590,砂月,ｻﾂｷ,1,天草市,32.170084,130.026062,
4610600,山の浦,ﾔﾏﾉｳﾗ,1,天草市,32.225079,130.081612,
4610610,浅海,ｱｻﾐ,1,天草市,32.23841,130.082722,
4610620,下平,ｼﾓﾋﾗ,1,天草市,32.265075,130.114386,
4610630,女岳,ﾒﾀﾞｹ,1,天草市,32.28891151,130.1621196,
4610640,二本木,ﾆﾎﾝｷﾞ,1,天草市,32.31465858,130.1674709,
4610650,立,ﾀﾃ,1,天草市,32.321736,130.195488,
4610660,下大多尾,ｼﾓｵｵﾀｵ,1,天草市,32.3484,130.207708,
4610670,下浦,ｼﾓｳﾗ,1,天草市,32.416726,130.232426,
4610680,戸の崎,ﾄﾉｻｷ,1,天草市,32.38376856,130.2399747,
4610690,白戸,ｼﾗﾄ,1,天草市,32.393118,130.25437,
4610700,栖本,ｽﾓﾄ,1,天草市,32.408952,130.273804,
4610710,猪小田,ｲﾉｺﾀﾞ,1,天草市,32.395896,130.286589,
4610720,横浦,ﾖｺｳﾗ,1,天草市（横浦島）,32.364512,130.342696,
4610730,牧島,ﾏｷｼﾏ,1,天草市（牧島）,32.344514,130.331031,
4610740,長浦,ﾅｶﾞｳﾗ,1,天草市（牧島）,32.350624,130.316032,
4610750,大浦元浦,ｵｵｳﾗﾓﾄｳﾗ,1,天草市（御所浦島）,32.316184,130.330198,
4610760,烏帽子,ｴﾎﾞｼ,1,天草市（御所浦島）,32.32031853,130.3559068,
4610770,小屋河内,ｺﾔｶﾞﾜﾁ,1,上天草市,32.38951,130.392135,
4610790,下貫,ｼﾀﾇｷ,1,上天草市,32.407841,130.4088,
4610800,牟田,ﾑﾀ,1,上天草市,32.47096593,130.4403516,
4610810,干切,ﾋｷﾞﾚ,1,上天草市,32.516719,130.457404,
4620010,大正開,ﾀｲｼｮｳﾋﾞﾗｷ,2,玉名市,32.8922302,130.4967095,
4620020,塩屋,ｼｵﾔ,2,熊本市,32.817243,130.591273,
4620040,住吉,ｽﾐﾖｼ,2,宇土市,32.708366,130.592665,
4620050,長浜,ﾅｶﾞﾊﾏ,2,宇土市,32.695034,130.563779,
4620070,大鞘,ｵｻﾞﾔ,2,八代市,32.57351774,130.5859106,
4620080,合串,ｴｸﾞｼ,2,芦北郡津奈木町,32.280079,130.446022,
4620100,丸島,ﾏﾙｼﾏ,2,水俣市,32.216751,130.384363,
4620110,湯島,ﾕｼﾏ,2,上天草市,32.603374,130.33769,
4620115,鳩之釜,ﾊﾄﾉｶﾏ,2,上天草市,32.580044,130.402685,
4620120,佐伊津,ｻｲﾂ,2,天草市,32.495883,130.193817,
4620130,二江,ﾌﾀｴ,2,天草市,32.550043,130.126044,
4620135,富岡,ﾄﾐｵｶ,2,天草郡苓北町,32.517267,130.03272,
4620140,大江,ｵｵｴ,2,天草市,32.317844,129.992173,
4620150,崎津,ｻｷﾂ,2,天草市,,,
4620160,深海,ﾌｶﾐ,2,天草市,32.25202,130.097721,
4620170,船津,ﾌﾅﾂ,2,天草市,32.306737,130.149382,
4620180,大多尾,ｵｵﾀｵ,2,天草市,32.356732,130.214375,
4620190,宮田,ﾐﾔﾀ,2,天草市,32.396667,130.311667,
4620200,御所浦,ｺﾞｼｮｳﾗ,2,天草市（御所浦島）,,,
4620220,大道,ｵｵﾄﾞｳ,2,上天草市,32.383955,130.345751,
4620230,下桶川,ｼﾓｵｹｶﾞﾜ,2,上天草市,32.378401,130.417133,
4620240,赤瀬,ｱｶｾ,2,宇土市,,,
4630010,牛深,ｳｼﾌﾞｶ,3,天草市,32.20459395,130.0391116,
