ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2410010,東浜,ﾄｳﾉﾊﾏ,1,七尾市,36.97793473,137.0513333,
2410020,黒崎,ｸﾛｻｷ,1,七尾市,36.99027382,137.05335,
2410030,上佐佐波,ｶﾐｻｻﾞﾅﾐ,1,七尾市,37.00377586,137.0480477,
2410050,百海,ﾄﾞｳﾐ,1,七尾市,37.04837117,137.0492505,
2410060,江泊,ｴﾉﾄﾏﾘ,1,七尾市,37.06832472,137.0539129,
2410070,鵜浦,ｳﾉｳﾗ,1,七尾市,37.09919268,137.0520501,
2410080,三室,ﾐﾑﾛ,1,七尾市,37.099672,137.018891,
2410090,野崎,ﾉｻﾞｷ,1,七尾市,37.12507294,137.0505585,
2410100,祖母ヶ浦,ﾊﾞｶﾞｳﾗ,1,七尾市,37.16724243,137.0344198,
2410110,向田,ｺｳﾀﾞ,1,七尾市,37.1362735,137.0016375,
2410120,曲,ﾏｶﾞﾘ,1,七尾市,37.14326827,136.9909877,
2410123,三ヶ浦,ｻﾝｶﾞｳﾗ,1,七尾市,37.15287752,136.9089047,
2410125,中島,ﾅｶｼﾞﾏ,1,七尾市,37.11322958,136.8843686,
2410130,新崎,ﾆﾝｻﾞｷ,1,鳳珠郡穴水町,37.20227506,136.9237576,
2410140,岩車,ｲﾜｸﾞﾙﾏ,1,鳳珠郡穴水町,37.216322,136.955838,
2410150,鹿波,ｶﾅﾐ,1,鳳珠郡穴水町,37.19815098,136.9868091,
2410160,曾良,ｿﾗ,1,鳳珠郡穴水町,37.19017537,137.0171012,
2410170,甲,ｶﾌﾞﾄ,1,鳳珠郡穴水町,37.20424979,137.0326073,
2410180,沖波,ｵｷﾅﾐ,1,鳳珠郡穴水町,37.21065051,137.0598801,
2410190,前波,ﾏｴﾅﾐ,1,鳳珠郡穴水町,37.217159,137.069994,
2410200,宇加川,ｳｶｶﾞﾜ,1,鳳珠郡穴水町,37.22739162,137.068701,
2410210,古君,ﾌﾙｷﾐ,1,鳳珠郡穴水町,37.23765367,137.073234,
2410215,鵜川,ｳｶﾜ,1,鳳珠郡能登町,37.25326217,137.0885507,
2410220,七見,ｼﾁﾐ,1,鳳珠郡能登町,37.25899938,137.0925081,
2410230,矢波,ﾔﾅﾐ,1,鳳珠郡能登町,37.27680991,137.0991798,
2410240,波並,ﾊﾅﾐ,1,鳳珠郡能登町,37.28793052,137.1173842,
2410250,藤波,ﾌｼﾞﾅﾐ,1,鳳珠郡能登町,37.29264088,137.1354844,
2410260,羽根,ﾊﾈ,1,鳳珠郡能登町,37.30023284,137.1757366,
2410270,小浦,ｵｳﾗ,1,鳳珠郡能登町,37.29984077,137.1904598,
2410290,白丸,ｼﾛﾏﾙ,1,鳳珠郡能登町,37.32786987,137.2649318,
2410300,比那,ﾋﾞﾅ,1,鳳珠郡能登町,37.34218739,137.2594946,
2410310,小泊,ｺﾄﾞﾏﾘ,1,珠洲市,37.44714,137.355514,
2410320,寺家,ｼﾞｹ,1,珠洲市,37.50162674,137.3518116,
2410330,長橋,ﾅｶﾞﾊｼ,1,珠洲市,37.50046697,137.1533871,
2410340,真浦,ﾏｳﾗ,1,珠洲市,37.471574,137.092759,
2410350,曽々木,ｿｿｷﾞ,1,輪島市,37.45552115,137.0684742,
2410360,光浦,ﾋｶﾘｳﾗ,1,輪島市,37.40691096,136.8764868,
2410370,鵜入,ｳﾆｭｳ,1,輪島市,37.40127388,136.85149,
2410380,大沢,ｵｵｻﾞﾜ,1,輪島市,37.376578,136.8014,
2410390,皆月,ﾐﾅﾂﾞｷ,1,輪島市,37.353524,136.754461,
2410400,深見,ﾌｶﾐ,1,輪島市,37.30590145,136.7263606,
2410415,黒島,ｸﾛｼﾏ,1,輪島市,37.282143,136.732244,
2410420,赤神,ｱｶｶﾐ,1,輪島市,37.24984324,136.7097472,
2410430,剱地,ﾂﾙｷﾞｼﾞ,1,輪島市,37.23238914,136.7025324,
2410443,赤崎,ｱｶｻｷ,1,羽咋郡志賀町,37.168544,136.673919,
2410450,領家,ﾘｮｳｹ,1,羽咋郡志賀町,37.13523318,136.7261781,
2410460,七海,ｼﾂﾐ,1,羽咋郡志賀町,37.12618397,136.7270574,
2410470,赤住,ｱｶｽﾐ,1,羽咋郡志賀町,37.04849869,136.7324397,
2410475,安部屋,ｱﾌﾞﾔ,1,羽咋郡志賀町,37.0065085,136.7555134,
2410476,高浜,ﾀｶﾊﾏ,1,羽咋郡志賀町,37.00012909,136.7635629,
2410480,大島,ｵｼﾏ,1,羽咋郡志賀町,36.98882477,136.7668027,
2410490,柴垣,ｼﾊﾞｶﾞｷ,1,羽咋市,36.95174783,136.7602545,
2410500,羽咋,ﾊｸｲ,1,羽咋市,36.90351189,136.7654311,
2410505,美川,ﾐｶﾜ,1,白山市,36.49030537,136.4791968,
2410510,安宅,ｱﾀｶ,1,小松市,36.42225466,136.4173632,
2420010,庵,ｲｵﾘ,2,七尾市,37.03824734,137.047474,
2420015,下佐々波,ｼﾓｻｻﾞﾅﾐ,2,七尾市,37.012182,137.048059,
2420020,石崎,ｲｼｻﾞｷ,2,七尾市,37.07249799,136.9378202,
2420030,鰀目,ｴﾉﾒ,2,七尾市,37.15250869,137.0526169,
2420045,高倉,ﾀｶｸﾗ,2,鳳珠郡能登町,37.295018,137.2107409,
2420050,松波,ﾏﾂﾅﾐ,2,鳳珠郡能登町,37.357702,137.246361,
2420060,鵜飼,ｳｶｲ,2,珠洲市,37.40197989,137.2453502,
2420070,名舟,ﾅﾌﾈ,2,輪島市,37.43248481,137.0229329,
2420075,鹿磯,ｶｲｿ,2,輪島市,37.293807,136.725855,
2430010,蛸島,ﾀｺｼﾞﾏ,3,珠洲市,37.43857154,137.3068492,
2430020,橋立,ﾊｼﾀﾞﾃ,3,加賀市,36.353906,136.315928,
2440010,狼煙,ﾉﾛｼ,4,珠洲市,37.525741,137.326625,
2440020,舳倉島,ﾍｸﾞﾗｼﾞﾏ,4,輪島市,37.849582,136.91887,
2440030,富来,ﾄｷﾞ,4,羽咋郡志賀町,37.14390814,136.6993488,
