ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2110020,柴,ｼﾊﾞ,1,横浜市,35.343552,139.639846,
2110030,金沢,ｶﾅｻﾞﾜ,1,横浜市,35.333553,139.636235,
2110040,北下浦,ｷﾀｼﾀｳﾗ,1,横須賀市,35.19911581,139.6750859,
2110050,秋谷,ｱｷﾔ,1,横須賀市,35.235229,139.599298,
2110060,久留和,ｸﾙﾜ,1,横須賀市,35.245783,139.59152,
2110070,金田,ｶﾈﾀﾞ,1,三浦市,35.159406,139.665128,
2110073,毘沙門,ﾋﾞｼｬﾓﾝ,1,三浦市,35.140519,139.650686,
2110077,初声,ﾊｯｾ,1,三浦市,35.172181,139.618466,
2110080,真名瀬,ｼﾝﾅｾ,1,三浦郡葉山町,35.269113,139.569021,
2110090,小坪,ｺﾂﾎﾞ,1,逗子市,35.295499,139.556521,
2110100,腰越,ｺｼｺﾞｴ,1,鎌倉市,35.306885,139.492082,
2110101,鎌倉,ｶﾏｸﾗ,1,鎌倉市,,,
2110110,片瀬,ｶﾀｾ,1,藤沢市,35.30275687,139.4784993,
2110120,茅ヶ崎,ﾁｶﾞｻｷ,1,茅ヶ崎市,35.315492,139.397645,
2110125,二宮,ﾆﾉﾐﾔ,1,中郡二宮町,35.29188,139.248492,
2110130,石橋,ｲｼﾊﾞｼ,1,小田原市,35.22583881,139.1422189,
2110140,米神,ｺﾒｶﾐ,1,小田原市,35.215497,139.142115,
2110150,江之浦,ｴﾉｳﾗ,1,小田原市,35.191888,139.138228,
2110160,岩,ｲﾜ,1,足柄下郡真鶴町,35.16234062,139.1421901,
2110165,福浦,ﾌｸｳﾗ,1,足柄下郡湯河原町,35.150226,139.131841,
2120020,長井,ﾅｶﾞｲ,2,横須賀市,35.207177,139.609576,
2120030,佐島,ｻｼﾞﾏ,2,横須賀市,35.223008,139.605965,
2120040,間口,ﾏｸﾁ,2,三浦市,35.144686,139.677073,
2120050,平塚,ﾋﾗﾂｶ,2,平塚市,35.313826,139.365148,
2130010,三崎,ﾐｻｷ,特3,三浦市,35.138574,139.6193,
2130020,小田原,ｵﾀﾞﾜﾗ,3,小田原市,35.239661,139.147392,
