ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2510010,浜坂,ﾊﾏｻｶ,1,あわら市,36.287246,136.250936,
2510020,梶,ｶｼﾞ,1,坂井市,36.25268099,136.1505908,
2510030,崎,ｻｷ,1,坂井市,36.251692,136.14428,
2510040,安島,ｱﾝﾄｳ,1,坂井市,36.24415015,136.1270445,
2510050,長橋菅生,ﾅｶﾞﾊｼｽｺﾞｳ,1,福井市,36.113927,136.049294,
2510070,鮎川,ｱﾕｶﾜ,1,福井市,36.0895556,136.0299927,
2510080,大丹生,ｵﾆｭｳ,1,福井市,36.07277792,136.0249869,
2510090,大味,ｵｵﾐ,1,福井市,36.04887283,136.0152842,
2510100,居倉,ｲｸﾗ,1,福井市,36.01570347,135.9922537,
2510110,左右,ｿｳ,1,丹生郡越前町,35.99212925,135.9638836,
2510120,玉川,ﾀﾏｶﾞﾜ,1,丹生郡越前町,35.97135084,135.961958,
2510140,茂原,ﾓﾊﾗ,1,丹生郡越前町,35.9068319,135.9957201,
2510145,白浜(城崎),ｼﾗﾊﾏ(ｼﾛｻｷ),1,丹生郡越前町,35.89732501,135.9941683,
2510147,米の浦,ｺﾒﾉｳﾗ,1,丹生郡越前町,35.88709572,135.9950856,
2510150,糠,ﾇｶ,1,南条郡南越前町,35.85056256,136.0364648,
2510170,河野,ｺｳﾉ,1,南条郡南越前町,35.82324403,136.070856,
2510180,浦底,ｳﾗｿｺ,1,敦賀市,24.771093,125.396885,
2510190,立石,ﾀﾃｲｼ,1,敦賀市,35.75612503,136.0254131,
2510200,白木,ｼﾗｷ,1,敦賀市,35.73313809,135.9755037,
2510210,丹生,ﾆｭｳ,1,三方郡美浜町,35.711195,135.97126,
2510220,菅浜,ｽｶﾞﾊﾏ,1,三方郡美浜町,35.65507569,135.9721517,
2510230,坂尻,ｻｶｼﾞﾘ,1,三方郡美浜町,35.62252947,135.9639388,
2510240,常神,ﾂﾈｶﾐ,1,三方上中郡若狭町,35.63687253,135.8226497,
2510250,神子,ﾐｺ,1,三方上中郡若狭町,35.62042296,135.8381679,
2510260,小川,ｵｶﾞﾜ,1,三方上中郡若狭町,35.6059641,135.8434455,
2510270,塩坂越,ｼｬｸｼ,1,三方上中郡若狭町,35.58930497,135.8569553,
2510275,世久見,ｾｸﾐ,1,三方上中郡若狭町,35.57265137,135.848872,
2510290,田烏,ﾀｶﾞﾗｽ,1,小浜市,35.53748027,135.8336683,
2510300,内外海,ｳﾁﾄﾐ,1,小浜市,35.53097324,135.7922477,
2510310,本郷,ﾎﾝｺﾞｳ,1,大飯郡おおい町,32.342847,130.335753,
2510320,犬見,ｲﾇﾐ,1,大飯郡おおい町,35.49130236,135.6218946,
2510340,小黒飯,ｵｸﾞﾙｲ,1,大飯郡高浜町,35.51394189,135.5104309,
2510350,音海,ｵﾄﾐ,1,大飯郡高浜町,35.53849769,135.505654,
2510360,上瀬,ｳﾜｾ,1,大飯郡高浜町,35.551201,135.479087,
2520010,鷹巣,ﾀｶｽ,2,福井市,36.12901141,136.0559958,
2520020,白浜(国見),ｼﾗﾊﾏ(ｸﾆﾐ),2,福井市,36.082542,136.028464,
2520030,茱崎,ｸﾞﾐｻﾞｷ,2,福井市,36.04135113,136.0110577,
2520065,甲楽城,ｶﾌﾞﾗｷ,2,南条郡南越前町,35.8369805,136.0516079,
2520070,早瀬,ﾊﾔｾ,2,三方郡美浜町,35.61419164,135.9090332,
2520080,日向,ﾋﾙｶﾞ,2,三方郡美浜町,35.61293986,135.8940722,
2520087,大島,ｵｵｼﾏ,2,大飯郡おおい町,35.52536505,135.64655,
2520090,高浜,ﾀｶﾊﾏ,2,大飯郡高浜町,35.49530584,135.5494376,
2530010,小浜,ｵﾊﾞﾏ,3,小浜市,35.50219889,135.7361944,
2540010,越前,ｴﾁｾﾞﾝ,4,丹生郡越前町,35.93887079,135.9925834,
