ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4310020,八屋,ﾊﾁﾔ,1,豊前市,33.61850447,131.1148096,
4310030,松江,ｼｮｳｴ,1,豊前市,34.65236833,134.9562824,
4310040,西角田,ﾆｼｽﾀﾞ,1,築上郡築上町,33.63515037,131.0841652,
4310050,椎田,ｼｲﾀﾞ,1,築上郡築上町,33.65530569,131.0661687,
4310060,八津田,ﾊｯﾀ,1,築上郡築上町,33.670488,131.06343,
4310070,西八田,ﾆｼﾊｯﾀ,1,築上郡築上町,33.683542,131.053153,
4310080,稲童,ｲﾅﾄﾞｳ,1,行橋市,33.70428563,131.0329635,
4310090,長井,ﾅｶﾞｲ,1,行橋市,33.71888958,131.0256001,
4310100,沓尾,ｸﾂｵ,1,行橋市,33.73233633,131.0202291,
4310110,蓑島,ﾐﾉｼﾏ,1,行橋市,33.75155496,131.0156438,
4310120,曾根,ｿﾈ,1,北九州市,33.819914,130.962324,
4310140,平松,ﾋﾗﾏﾂ,1,北九州市,33.892126,130.86483,
4310150,脇之浦,ﾜｷﾉｳﾗ,1,北九州市,33.9231042,130.7575857,
4310160,脇田,ﾜｲﾀ,1,北九州市,33.93576325,130.7237447,
4310170,岩屋,ｲﾜﾔ,1,北九州市,33.933784,130.683457,
4310180,馬島,ｳﾏｼﾏ,1,北九州市（馬島）,33.966284,130.854551,
4310185,柏原,ｶｼﾊﾞﾗ,1,遠賀郡芦屋町,33.90889178,130.6461004,
4310200,地島,ｼﾞﾉｼﾏ,1,宗像市（地島）,33.896285,130.502363,
4310210,勝浦,ｶﾂｳﾗ,1,福津市,33.84281523,130.4793523,
4310220,福間,ﾌｸﾏ,1,福津市,33.7622564,130.4675295,
4310230,新宮,ｼﾝｸﾞｳ,1,粕屋郡新宮町,33.71589875,130.4195173,
4310240,奈多,ﾅﾀ,1,福岡市,33.685751,130.395157,
4310250,弘,ﾋﾛ,1,福岡市,33.66817751,130.2903713,
4310255,浜崎今津,ﾊﾏｻｷｲﾏﾂﾞ,1,福岡市,33.59514864,130.2697463,
4310260,芥屋,ｹﾔ,1,糸島市,33.58937974,130.1065806,
4310280,姫島,ﾋﾒｼﾏ,1,糸島市（姫島）,33.56415976,130.0527466,
4310290,深江,ﾌｶｴ,1,糸島市,33.52054429,130.1321383,
4310300,大入,ﾀﾞｲﾆｭｳ,1,糸島市,33.511599,130.104355,
4310305,福吉,ﾌｸﾖｼ,1,糸島市,33.50788331,130.0927193,
4310310,鹿家,ｼｶｶ,1,糸島市,33.48896959,130.0477754,
4310320,三又,ﾐﾂﾏﾀ,1,大川市,33.221637,130.379337,
4310330,若津,ﾜｶﾂ,1,大川市,33.20525,130.361006,
4310340,上新田,ｶﾐｼﾝﾃﾞﾝ,1,大川市,33.197751,130.360173,
4310350,新田,ｼﾝﾃﾞﾝ,1,大川市,33.183308,130.360729,
4310360,大野島,ｵｵﾉｼﾏ,1,大川市,33.208861,130.356284,
4310370,久間田,ｸﾏﾀﾞ,1,柳川市,33.159978,130.357952,
4310380,有明,ｱﾘｱｹ,1,柳川市,33.117206,130.403504,
4310390,東宮永,ﾋｶﾞｼﾐﾔﾅｶﾞ,1,柳川市,33.119149,130.402671,
4310400,皿垣開,ｻﾗｶｷﾋﾞﾗｷ,1,柳川市,33.113039,130.400171,
4310410,両開,ﾘｮｳｶｲ,1,柳川市,33.114984,130.399061,
4310420,江浦,ｴﾉｳﾗ,1,みやま市,33.11304,130.435446,
4310430,黒崎,ｸﾛｻｷ,1,大牟田市,33.0711,130.417671,
4320010,吉富,ﾖｼﾄﾐ,2,築上郡吉富町,33.619385,131.177588,
4320015,宇島,ｳﾉｼﾏ,2,豊前市,,,
4320020,柄杓田,ﾋｼﾔｸﾀﾞ,2,北九州市,33.90481731,130.9967273,
4320030,藍島,ｱｲﾉｼﾏ,2,北九州市（藍島）,33.989336,130.816777,
4320050,波津,ﾊﾂ,2,遠賀郡岡垣町,33.88351,130.566247,
4320060,鐘崎,ｶﾈｻﾞｷ,2,宗像市,33.8768234,130.5277549,
4320065,神湊,ｺｳﾉﾐﾅﾄ,2,宗像市,33.85379,130.482644,
4320070,津屋崎,ﾂﾔｻﾞｷ,2,福津市,33.78902655,130.4460789,
4320080,大島,ｵｵｼﾏ,2,宗像市（大島）,33.901005,130.437925,
4320090,相島,ｱｲﾉｼﾏ,2,粕屋郡新宮町（相島）,33.75491,130.365157,
4320100,志賀島,ｼｶﾉｼﾏ,2,福岡市,33.65937514,130.3143178,
4320120,唐泊,ｶﾗﾄﾏﾘ,2,福岡市,33.637421,130.22684,
4320130,西浦,ﾆｼﾉｳﾗ,2,福岡市,33.65130429,130.2059944,
4320140,玄界,ｹﾞﾝｶｲ,2,福岡市（玄界島）,33.682971,130.235171,
4320150,野北,ﾉｷﾞﾀ,2,糸島市,33.611311,130.161569,
4320155,岐志,ｷｼ,2,糸島市,33.56817019,130.1270904,
4320160,船越,ﾌﾅｺｼ,2,糸島市,33.55389244,130.1302593,
4320170,加布里,ｶﾌﾘ,2,糸島市,33.55108074,130.1631942,
4320190,沖端,ｵｷﾉﾊﾀ,2,柳川市,33.140535,130.37184,
4320200,中島,ﾅｶｼﾏ,2,柳川市,33.113596,130.433501,
4330010,博多,ﾊｶﾀ,特3,福岡市,33.59581448,130.3860567,
4340010,沖の島,ｵｷﾉｼﾏ,4,宗像市（沖の島）,34.239293,130.104057,
4340020,小呂島,ｵﾛﾉｼﾏ,4,福岡市（小呂島）,33.85980447,130.0358877,
