ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1710070,富岡,ﾄﾐｵｶ,1,双葉郡富岡町,37.33884957,141.0299476,
1710090,小浜,ｵﾊﾞﾏ,1,いわき市,36.910352,140.836345,
1720005,釣師浜,ﾂﾙｼﾊﾏ,2,相馬郡新地町,37.87236687,140.9397632,
1720007,真野川,ﾏﾉｶﾞﾜ,2,南相馬市,37.6879635,141.0147655,
1720010,久之浜,ﾋｻﾉﾊﾏ,2,いわき市,37.14790931,141.0027479,
1720015,四倉,ﾖﾂｸﾗ,2,いわき市,37.10839,140.999101,
1720020,豊間,ﾄﾖﾏ,2,いわき市,36.99344052,140.9807036,
1720030,勿来,ﾅｺｿ,2,いわき市,36.86412046,140.7949554,
1730010,松川浦,ﾏﾂｶﾜｳﾗ,3,相馬市,37.82718579,140.9861619,
1730015,請戸,ｳｹﾄﾞ,3,双葉郡浪江町,37.4837805,141.0431859,
