ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1510025,若美,ﾜｶﾐ,1,男鹿市,40.0300064,139.9112395,
1510030,加茂,ｶﾓ,1,男鹿市,39.9083017,139.7295744,
1510035,門前,ﾓﾝｾﾞﾝ,1,男鹿市,39.86282815,139.7523508,
1510040,脇本,ﾜｷﾓﾄ,1,男鹿市,39.89751395,139.8963211,
1510050,船越,ﾌﾅｺｼ,1,男鹿市,39.90276,139.9553948,
1510060,五里合,ｲﾘｱｲ,1,男鹿市,39.98782391,139.867951,
1510065,湯之尻,ﾕﾉｼﾘ,1,男鹿市,39.97795252,139.7603625,
1510070,潟上,ｶﾀｶﾞﾐ,1,潟上市及び男鹿市,39.88637536,139.9728166,
1510075,道川,ﾐﾁｶﾜ,1,由利本荘市,39.54190841,140.0488163,
1510080,松ヶ崎,ﾏﾂｶﾞｻｷ,1,由利本荘市,39.50554287,140.0425843,
1510090,本荘,ﾎﾝｼﾞｮｳ,1,由利本荘市,39.38988723,140.0353812,
1510100,西目,ﾆｼﾒ,1,由利本荘市,39.33987505,139.9930905,
1510110,小砂川,ｺｻｶﾞﾜ,1,にかほ市,39.12799221,139.8681321,
1510120,八郎湖,ﾊﾁﾛｳｺ,1,南秋田郡八郎潟町,39.948311,140.05627,
1520010,岩館,ｲﾜﾀﾞﾃ,2,山本郡八峰町,40.39511871,139.9613447,
1520020,八森,ﾊﾁﾓﾘ,2,山本郡八峰町,40.36759137,140.0012709,
1520030,畠,ﾊﾀｹ,2,男鹿市,40.0014915,139.7113609,
1520040,平沢,ﾋﾗｻﾜ,2,にかほ市,39.29948293,139.9528735,
1520050,金浦,ｺﾉｳﾗ,2,にかほ市,39.25354652,139.9048443,
1520060,象潟,ｷｻｶﾀ,2,にかほ市,39.21233254,139.8849244,
1530010,椿(船川港),ﾂﾊﾞｷ(ﾌﾅｶﾞﾜﾐﾅﾄ),3,男鹿市,39.85798179,139.7777786,
1540010,北浦,ｷﾀｳﾗ,4,男鹿市,39.96256332,139.7941056,
