ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1810010,日高,ﾋﾀﾞｶ,1,日立市,36.61716205,140.6863036,
1810020,会瀬,ｵｳｾ,1,日立市,36.57950603,140.6637558,
1810030,水木,ﾐｽﾞｷ,1,日立市,36.5151584,140.6363395,
1810031,磯崎,ｲｿｻﾞｷ,1,ひたちなか市,36.38445238,140.6285363,
1810033,磯浜,ｲｿﾊﾏ,1,東茨城郡大洗町,36.29993085,140.5922854,
1810035,松川,ﾏﾂｶﾜ,1,東茨城郡大洗町,36.273749,140.526121,
1810040,白浜,ｼﾗﾊﾏ,1,行方市,36.060717,140.531686,
1810050,麻生,ｱｿｳ,1,行方市,35.994334,140.472526,
1810060,小高,ｵﾀﾞｶ,1,行方市,36.067102,140.389753,
1810070,五町田,ｺﾞﾁｮｳﾀﾞ,1,行方市,36.052105,140.437805,
1810080,荒宿,ｱﾗｼﾞｭｸ,1,行方市,36.049605,140.444472,
1810090,志戸崎,ｼﾄｻﾞｷ,1,かすみがうら市,36.008778,140.471971,
1810100,牛渡,ｳｼﾜﾀ,1,かすみがうら市,36.06099,140.336702,
1810110,沖宿,ｵｷｼﾞｭｸ,1,土浦市,36.012107,140.344759,
1810120,木原,ｷﾊﾗ,1,稲敷郡美浦村,36.039602,140.286151,
1810130,安中,ｱﾝｼﾞｭｳ,1,稲敷郡美浦村,36.079875,140.275596,
1810140,広浦,ﾋﾛｳﾗ,1,東茨城郡茨城町,36.266805,140.541676,
1810150,太田,ｵｵﾀ,1,神栖市,35.818806,140.736401,
1810160,手賀,ﾃｶﾞ,1,行方市,36.035997,140.477802,
1830005,平潟,ﾋﾗｶﾀ,3,北茨城市,36.85078242,140.8011448,
1830010,大津,ｵｵﾂ,3,北茨城市,36.82601384,140.7920698,
1830020,久慈,ｸｼﾞ,3,日立市,28.229393,129.252606,
1830030,那珂湊,ﾅｶﾐﾅﾄ,3,ひたちなか市,36.33776778,140.5995996,
1830040,波崎,ﾊｻｷ,3,東茨城郡大洗町,35.75291285,140.8429535,
,,,,神栖市,,,
