ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4510010,鰐ノ浦,ﾜﾆﾉｳﾗ,1,対馬市（対馬島）,34.69684668,129.4395931,
4510020,豊,ﾄﾖ,1,対馬市（対馬島）,34.69477852,129.4568771,
4510030,泉,ｲｽﾞﾐ,1,対馬市（対馬島）,34.67829149,129.4761723,
4510040,大浦,ｵｵｳﾗ,1,対馬市（対馬島）,34.67494166,129.4317818,
4510050,富ヶ浦,ﾄﾐｶﾞｳﾗ,1,対馬市（対馬島）,34.62632532,129.4833424,
4510060,唐舟志,ﾄｳｼﾞﾕｳｼ,1,対馬市（対馬島）,34.61604277,129.4785914,
4510065,浜久須,ﾊﾏｸｽ,1,対馬市（対馬島）,34.62615054,129.4486577,
4510070,五根緒,ｺﾞﾈｵ,1,対馬市（対馬島）,34.5957981,129.4749481,
4510080,西津屋,ﾆｼﾂﾔ,1,対馬市（対馬島）,34.66751376,129.4019063,
4510090,佐護湊,ｻｺﾞﾐﾅﾄ,1,対馬市（対馬島）,34.64426879,129.3376086,
4510095,田ノ浜,ﾀﾉﾊﾏ,1,対馬市（対馬島）,34.57013543,129.2905366,
4510100,越高,ｺｼﾀｶ,1,対馬市（対馬島）,34.54954121,129.3254836,
4510110,女連,ｳﾅﾂﾗ,1,対馬市（対馬島）,34.51141131,129.3017289,
4510120,志越,ｼｺｴ,1,対馬市（対馬島）,34.48989953,129.4116559,
4510130,志多賀,ｼﾀｶ,1,対馬市（対馬島）,34.47470874,129.3994289,
4510150,櫛,ｸｼ,1,対馬市（対馬島）,34.43226047,129.3670104,
4510160,津柳,ﾂﾔﾅｷﾞ,1,対馬市（対馬島）,34.48659338,129.2913527,
4510170,青海,ｵｳﾐ,1,対馬市（対馬島）,34.47199974,129.2760507,
4510180,木坂,ｷｻｶ,1,対馬市（対馬島）,34.46291149,129.2764587,
4510190,三根,ﾐﾈ,1,対馬市（対馬島）,34.45961991,129.3062758,
4510200,千尋藻,ﾁﾛﾓ,1,対馬市（対馬島）,34.39035109,129.3562334,
4510210,塩浜,ｼｵﾊﾏ,1,対馬市（対馬島）,34.38504961,129.3806584,
4510220,銘,ﾒｲ,1,対馬市（対馬島）,34.4276945,129.2788779,
4510230,小綱,ｺﾂﾞﾅ,1,対馬市（対馬島）,34.41613027,129.2817634,
4510240,唐崎,ｶﾗｻｷ,1,対馬市（対馬島）,34.36046471,129.2505473,
4510250,賀谷,ｶﾞﾔ,1,対馬市（対馬島）,34.36975687,129.3804543,
4510260,芦ヶ浦,ﾖｼｶﾞｳﾗ,1,対馬市（対馬島）,34.34552152,129.3706027,
4510270,赤島,ｱｶｼﾏ,1,対馬市（赤島、沖ノ,32.59739591,128.9195012,
4510280,住吉,ｽﾐﾖｼ,1,島、泊島）,34.33669542,129.3940659,
4510300,大船越,ｵｵﾌﾅｺｼ,1,対馬市（対馬島）,34.27406802,129.3473728,
4510310,高浜,ﾀｶﾊﾏ,1,対馬市（対馬島）,34.26058128,129.3203537,
4510320,根緒,ﾈｵ,1,対馬市（対馬島）,34.24330777,129.3188089,
4510330,西海,ｻｲｶｲ,1,対馬市（対馬島）,34.32272806,129.2760069,
4510350,阿須湾,ｱｽﾞﾜﾝ,1,対馬市（対馬島）,34.21959675,129.302137,
4510360,尾浦,ｵｳﾗ,1,対馬市（対馬島）,34.16384379,129.2839494,
4510370,安神,ｱｶﾞﾐ,1,対馬市（対馬島）,34.14470602,129.2766336,
4510380,久和,ｸﾜ,1,対馬市（対馬島）,34.12580129,129.2603406,
4510390,内院,ﾅｲｲﾝ,1,対馬市（対馬島）,34.1117611,129.2332341,
4510400,瀬,ｾ,1,対馬市（対馬島）,34.14942493,129.1729877,
4510410,久根浜,ｸﾈﾊﾏ,1,対馬市（対馬島）,34.16891224,129.1779135,
4510420,上槻,ｺｳﾂｷ,1,対馬市（対馬島）,34.18647705,129.1797498,
4510430,阿連,ｱﾚ,1,対馬市（対馬島）,34.27057254,129.1957514,
4511010,湯ノ本,ﾕﾉﾓﾄ,1,対馬市（対馬島）,33.80774147,129.6822398,
4511030,箱崎前浦,ﾊｺｻﾞｷﾏｴｳﾗ,1,壱岐市（壱岐島）,33.81706276,129.7626265,
4511040,八幡浦,ﾔﾊﾀｳﾗ,1,壱岐市（壱岐島）,33.78350612,129.7783658,
4511070,石田,ｲｼﾀﾞ,1,壱岐市（壱岐島）,33.73695794,129.7353452,
4511090,初山,ﾊﾂﾔﾏ,1,,33.72510243,129.6960845,
