ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
1210010,大間越,ｵｵﾏｺﾞｼ,1,西津軽郡深浦町,40.488521,139.94792,
1210015,黒崎,ｸﾛｻｷ,1,西津軽郡深浦町,40.00790427,141.9227365,
1210020,森山,ﾓﾘﾔﾏ,1,西津軽郡深浦町,40.55692315,139.9286511,
1210030,艫作,ﾍﾅｼ,1,西津軽郡深浦町,40.608782,139.862643,
1210040,横磯,ﾖｺｲｿ,1,西津軽郡深浦町,40.632669,139.893195,
1210050,広戸,ﾋﾛﾄ,1,西津軽郡深浦町,40.667944,139.942911,
1210060,驫木,ﾄﾄﾞﾛｷ,1,西津軽郡深浦町,40.703219,139.976239,
1210070,風合瀬,ｶｿｾ,1,西津軽郡深浦町,40.744881,140.002901,
1210080,田野沢,ﾀﾉｻﾜ,1,西津軽郡深浦町,40.763769,140.042619,
1210085,木造,ｷﾂﾞｸﾘ,1,つがる市,40.84356981,140.2740245,
1210095,車力,ｼｬﾘｷ,1,つがる市,40.97969018,140.3136253,
1210100,十三,ｼﾞｭｳｻﾝ,1,五所川原市,41.036801,140.3298,
1210120,宇鉄,ｳﾃﾂ,1,東津軽郡外ヶ浜町,41.237334,140.393118,
1210130,今別,ｲﾏﾍﾞﾂ,1,東津軽郡今別町,41.183454,140.479224,
1210140,一本木,ｲｯﾎﾟﾝｷﾞ,1,東津軽郡今別町,41.218175,140.537828,
1210160,瀬辺地,ｾﾍｼﾞ,1,東津軽郡蓬田村,41.007925,140.651162,
1210200,久栗坂,ｸｸﾞﾘｻﾞｶ,1,青森市,40.872391,140.843374,
1210205,浪打,ﾅﾐﾁﾞ,1,東津軽郡平内町,40.92427078,140.8681646,
1210235,白砂,ｼﾗｽ,1,東津軽郡平内町,40.984604,140.951692,
1210255,狩場沢,ｶﾘﾊﾞｻﾜ,1,東津軽郡平内町,40.89799218,141.0782687,
1210265,有戸,ｱﾘﾄ,1,上北郡野辺地町,40.907954,141.180842,
1210268,百目木,ﾄﾞﾒｷ,1,上北郡横浜町,41.03744853,141.2393417,
1210275,源氏ヶ浦,ｹﾞﾝｼﾞｶﾞｳﾗ,1,上北郡横浜町,41.114321,141.253047,
1210280,鶏沢,ﾆﾜﾄﾘｻﾞﾜ,1,上北郡横浜町,41.126541,141.261101,
1210290,浜奥内,ﾊﾏｵｸﾅｲ,1,むつ市,41.201254,141.261652,
1210295,角違,ｽﾐﾁｶﾞｲ,1,むつ市,41.20921929,141.0940628,
