ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2610010,初島,ﾊﾂｼﾏ,1,熱海市（初島）,35.041073,139.165453,
2610020,富戸,ﾌﾄ,1,伊東市,34.89581,139.132684,
2610030,八幡野,ﾔﾜﾀﾉ,1,伊東市,34.869146,139.102687,
2610040,赤沢,ｱｶｻﾞﾜ,1,伊東市,34.857757,139.089634,
2610050,大川,ｵｵｶﾜ,1,賀茂郡東伊豆町,34.840815,139.077135,
2610060,北川,ﾎｯｶﾜ,1,賀茂郡東伊豆町,34.829149,139.077136,
2610070,片瀬,ｶﾀｾ,1,賀茂郡東伊豆町,34.804708,139.064916,
2610080,白田,ｼﾗﾀ,1,賀茂郡東伊豆町,34.799986,139.062138,
2610090,下河津,ｼﾓｶﾜﾂﾞ,1,賀茂郡河津町,34.752767,139.009644,
2610100,白浜,ｼﾗﾊﾏ,1,下田市,34.706106,138.979371,
2610110,外浦,ｿﾄｳﾗ,1,下田市,34.673609,138.975205,
2610120,須崎,ｽｻﾞｷ,1,下田市,34.656111,138.967152,
2610130,吉佐美,ｷｻﾐ,1,下田市,34.659999,138.933543,
2610140,田牛,ﾄｳｼﾞ,1,下田市,34.637501,138.91299,
2610150,小稲,ｺｲﾅ,1,賀茂郡南伊豆町,34.626112,138.885492,
2610160,下流,ｼﾀﾙ,1,賀茂郡南伊豆町,34.624167,138.878549,
2610170,大瀬,ｵｵｾ,1,賀茂郡南伊豆町,34.613891,138.858828,
2610180,石廊崎,ｲﾛｳｻﾞｷ,1,賀茂郡南伊豆町,34.611946,138.849385,
2610190,三坂,ﾐｻｶ,1,賀茂郡南伊豆町,34.615278,138.823276,
2610200,伊浜,ｲﾊﾏ,1,賀茂郡南伊豆町,34.686102,138.764112,
2610210,雲見,ｸﾓﾐ,1,賀茂郡松崎町,34.727486,138.744112,
2610220,石部,ｲｼﾌﾞ,1,賀茂郡松崎町,34.733597,138.755777,
2610230,岩地,ｲﾜﾁ,1,賀茂郡松崎町,34.739151,138.757444,
2610240,仁科,ﾆｼﾅ,1,賀茂郡西伊豆町,34.774704,138.769386,
2610250,小下田,ｺｼﾓﾀﾞ,1,伊豆市,34.871636,138.757716,
2610260,八木沢,ﾔｷﾞｻﾜ,1,伊豆市,34.895801,138.772992,
2610270,井田,ｲﾀ,1,沼津市,35.000511,138.778821,
2610280,西浦,ﾆｼｳﾗ,1,沼津市,35.019399,138.810206,
2610300,西倉沢,ﾆｼｸﾗｻﾜ,1,静岡市,35.081331,138.548004,
2610310,地頭方,ｼﾞﾄｳｶﾞﾀ,1,牧之原市,34.62937251,138.2021305,
2610320,村櫛,ﾑﾗｸｼ,1,浜松市,34.710792,137.589211,
2610330,入出,ｲﾘﾃﾞ,1,湖西市,34.751064,137.529771,
2610335,鷲津,ﾜｼﾂﾞ,1,湖西市,34.715235,137.556159,
2620010,宇佐美,ｳｻﾐ,2,伊東市,35.008019,139.091294,
2620015,稲取,ｲﾅﾄﾘ,2,賀茂郡東伊豆町,34.773044,139.042696,
2620025,田子,ﾀｺﾞ,2,賀茂郡西伊豆町,34.8047,138.761607,
2620030,安良里,ｱﾗﾘ,2,賀茂郡西伊豆町,34.826365,138.766606,
2620040,戸田,ﾍﾀﾞ,2,沼津市,34.971904,138.7766,
2620050,内浦,ｳﾁｳﾗ,2,沼津市,35.024679,138.897699,
2620060,静浦,ｼｽﾞｳﾗ,2,沼津市,35.056897,138.880755,
2620070,由比,ﾕｲ,2,静岡市,35.099384,138.556614,
2620090,吉田,ﾖｼﾀﾞ,2,榛原郡吉田町,34.75440556,138.2682733,
2630010,焼津,ﾔｲﾂﾞ,特3,焼津市,34.867182,138.330253,
2630020,網代,ｱｼﾞﾛ,3,熱海市,35.04413667,139.1023808,
2630040,用宗,ﾓﾁﾑﾈ,3,静岡市,34.921621,138.369692,
2630050,舞阪,ﾏｲｻｶ,3,浜松市,34.682463,137.608377,
2640010,妻良,ﾒﾗ,4,賀茂郡南伊豆町,34.66055,138.789388,
2640020,福田,ﾌｸﾃﾞ,4,磐田市、袋井市,34.664694,137.903631,
,,,,,,,
