ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4010010,相生,ｱｲｵｲ,1,東かがわ市,34.21373075,134.4255985,
4010020,馬宿,ｳﾏﾔﾄﾞ,1,東かがわ市,34.22062614,134.4166746,
4010030,小磯,ｺｲｿ,1,東かがわ市,34.267709,134.321455,
4010040,馬篠,ｳﾏｼﾉ,1,東かがわ市,34.274097,134.293402,
4010050,脇元,ﾜｷﾓﾄ,1,さぬき市,34.28483052,134.2765752,
4010060,吉見,ﾖｼﾐ,1,さぬき市,34.30792762,134.2492022,
4010070,江泊,ｴﾄﾞﾏﾘ,1,さぬき市,34.318814,134.262014,
4010080,小田,ｵﾀﾞ,1,さぬき市,34.3406947,134.2396461,
4010090,小田浦,ｵﾀﾞｳﾗ,1,さぬき市,34.33796232,134.2377586,
4010100,苫張,ﾄﾏﾊﾞﾘ,1,さぬき市,34.34773302,134.222099,
4010110,長浜(鴨庄),ﾅｶﾞﾊﾏ(ｶﾓｼｮｳ),1,さぬき市,34.34995622,134.2117999,
4010120,新開(鴨庄),ｼﾝｶﾞｲ(ｶﾓｼｮｳ),1,さぬき市,34.34387856,134.2026985,
4010130,白方(鴨庄),ｼﾗｶﾀ(ｶﾓｼｮｳ),1,さぬき市,34.34449627,134.1918941,
4010140,室沖,ﾑﾛｵｷ,1,さぬき市,34.3385024,134.1852255,
4010150,泊,ﾄﾏﾘ,1,さぬき市,34.334644,134.187298,
4010160,房前,ﾌｻｻﾞｷ,1,高松市,34.33305816,134.1604717,
4010170,高尻,ｺｳｼﾞﾘ,1,高松市,34.36457252,134.1585565,
4010180,篠尾,ｼﾉｵ,1,高松市,34.37823972,134.164682,
4010190,鎌野,ｶﾏﾉ,1,高松市,34.39367674,134.1508403,
4010200,竹居,ﾀｹｲ,1,高松市,34.39988492,134.1383858,
4010210,江の浜,ｴﾉﾊﾏ,1,高松市,34.39698218,134.1261003,
4010230,浦生,ｳﾛ,1,高松市,34.3635321,134.0899257,
4010235,男木,ｵｷﾞ,1,高松市(男木島),34.41842303,134.0576596,
4010240,西浦(女木島),ﾆｼｳﾗ(ﾒｷﾞｼﾞﾏ),1,高松市(女木島),34.395467,134.044531,
4010250,亀水,ﾀﾙﾐ,1,高松市,34.378245,133.945096,
4010260,小部,ｺﾍﾞ,1,小豆郡土庄町,34.55013739,134.3041415,
4010270,田井,ﾀｲ,1,小豆郡土庄町,34.549899,134.268673,
4010280,琴塚,ｺﾄﾂﾞｶ,1,小豆郡土庄町,34.546288,134.256729,
4010290,小海,ｵﾐ,1,小豆郡土庄町,34.531567,134.24062,
4010300,見目,ﾐﾒ,1,小豆郡土庄町,34.52736851,134.2290035,
4010310,元目,ｹﾞﾝﾒ,1,小豆郡土庄町,34.520178,134.202013,
4010320,長浜(四海),ﾅｶﾞﾊﾏ(ｼｶｲ),1,小豆郡土庄町,34.51727063,134.180851,
4010330,唐櫃,ｶﾗﾄ,1,小豆郡土庄町(豊島),34.49075079,134.0985008,
4010340,硯,ｽｽﾞﾘ,1,小豆郡土庄町(豊島),34.497123,134.069247,
4010350,甲生,ｺｵ,1,小豆郡土庄町(豊島),34.4687423,134.0667181,
4010360,千軒,ｾﾝｹﾞ,1,小豆郡土庄町,34.468517,134.146186,
4010370,柳,ﾔﾅｷﾞ,1,小豆郡土庄町,34.46324,134.159518,
4010380,鹿島,ｶｼﾏ,1,小豆郡土庄町,34.47300884,134.1727877,
4010390,王子前,ｵｳｼﾞﾏｴ,1,小豆郡土庄町,34.4789644,134.1905025,
4010400,入部,ﾆｭｳﾍﾞ,1,小豆郡小豆島町,34.481572,134.201736,
4010410,蒲生,ｶﾓｳ,1,小豆郡小豆島町,34.481017,134.212013,
4010420,室生,ﾑﾛ,1,小豆郡小豆島町,33.22241121,131.8764305,
4010430,二面,ﾌﾀｵﾓﾃ,1,小豆郡小豆島町,34.462409,134.241178,
4010440,富士,ﾌｼﾞ,1,小豆郡小豆島町,34.43624285,134.2360709,
4010450,谷尻,ﾀﾆｼﾞﾘ,1,小豆郡小豆島町,34.425746,134.248123,
4010460,吉ヶ浦,ﾖｼｶﾞｳﾗ,1,小豆郡小豆島町,34.43029785,134.2478883,
4010470,蒲野,ｶﾏﾉ,1,小豆郡小豆島町,34.439356,134.252011,
4010480,長崎,ﾅｶﾞｻｷ,1,小豆郡小豆島町,34.45346134,134.2610895,
4010490,牛ヶ浦,ｳｼｶﾞｳﾗ,1,小豆郡小豆島町,34.46232492,134.2662943,
4010500,竹生,ﾀｺｳ,1,小豆郡小豆島町,34.46745904,134.2682155,
4010510,田浦,ﾀﾉｳﾗ,1,小豆郡小豆島町,34.45193808,134.2853551,
4010520,堀越,ﾎﾘｺｼ,1,小豆郡小豆島町,34.457687,134.304228,
4010530,瀬の倉,ｾﾉｸﾗ,1,小豆郡小豆島町,34.45055289,134.3244756,
4010540,大泊,ｵﾄﾏﾘ,1,小豆郡小豆島町,34.45022061,134.3393861,
4010550,橘,ﾀﾁﾊﾞﾅ,1,小豆郡小豆島町,34.489908,134.343668,
4010560,岩谷,ｲﾜｶﾞﾀﾆ,1,小豆郡小豆島町,34.49984182,134.3488697,
4010570,当浜,ｱﾃﾊﾏ,1,小豆郡小豆島町,34.52271506,134.3559817,
4010580,吉田,ﾖｼﾀﾞ,1,小豆郡小豆島町,34.55873973,134.3491747,
4010590,牛ヶ首,ｳｼｶﾞｸﾋﾞ,1,香川郡直島町(牛ヶ首島),34.505175,133.973144,
4010600,積浦,ﾂﾑｳﾗ,1,香川郡直島町（直島）,34.45274067,134.0030459,
4010610,乃生,ﾉｵ,1,坂出市,34.377966,133.903989,
4010620,御供所,ｺﾞﾌﾞｼｮ,1,坂出市,34.323804,133.837051,
4010630,西浦(瀬居島),ﾆｼｳﾗ(ｾｲｼﾞﾏ),1,坂出市,34.354356,133.847328,
4010650,東浦,ﾋｶﾞｼｳﾗ,1,坂出市,,,
4010660,岩黒,ｲﾜｸﾛ,1,坂出市(岩黒島),34.406294,133.811218,
4010670,櫃石,ﾋﾂｲｼ,1,坂出市(櫃石島),34.417681,133.806496,
4010680,北浦,ｷﾀｳﾗ,1,綾歌郡宇多津町,34.321027,133.826219,
4010690,笠島,ｶｻｼﾏ,1,丸亀市(本島),34.394906,133.787609,
4010700,福田(本島),ﾌｸﾀﾞ(ﾎﾝｼﾞﾏ),1,丸亀市(本島),34.392406,133.754279,
4010710,茂浦,ﾓｳﾗ,1,丸亀市(広島),34.386017,133.707061,
4010720,甲路,ｺｳﾛ,1,丸亀市(広島),34.356852,133.694563,
4010730,小手島,ｵﾃｼﾏ,1,丸亀市(小手島),34.376849,133.652622,
4010740,白方(白方),ｼﾗｶﾀ(ｼﾗｶﾀ),1,仲多度郡多度津町,34.26031848,133.7306247,
4010750,本村,ﾎﾝﾑﾗ,1,三豊市(志志島),34.269918,133.681789,
4010760,上新田,ｶﾐｼﾝﾃﾞﾝ,1,三豊市(粟島),34.27588124,133.6548295,
4010770,積,ﾂﾑ,1,三豊市,34.249919,133.612074,
4010780,室浜,ﾑﾛﾊﾏ,1,三豊市,34.263528,133.574022,
4010785,生里,ﾅﾏﾘ,1,三豊市,34.249918,133.579576,
4010790,肥地木,ﾋｼﾞｷ,1,三豊市,34.24353,133.58291,
