ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4210020,野根,ﾉﾈ,1,安芸郡東洋町,33.49508066,134.270708,
4210030,清水(室戸岬),ｼﾐｽﾞ(ﾑﾛﾄﾐｻｷ),1,室戸市,33.33515926,134.1990255,
4210040,日沖,ﾋｵｷ,1,室戸市,33.31356608,134.1945953,
4210050,高岡,ﾀｶｵｶ,1,室戸市,33.26745606,134.1886762,
4210060,菜生,ﾅﾊﾞｴ,1,室戸市,33.27685446,134.1527179,
4210070,元,ﾓﾄ,1,室戸市,33.29800364,134.1201535,
4210080,行当,ｷﾞｮｳﾄｳ,1,室戸市,33.29141471,134.1117016,
4210090,新村,ｼﾑﾗ,1,室戸市,33.2947331,134.108009,
4210100,傍士,ﾎｳｼﾞ,1,室戸市,33.32435811,134.1021338,
4210110,吉良川,ｷﾗｶﾞﾜ,1,室戸市,33.33988898,134.0769385,
4210120,羽根,ﾊﾈ,1,室戸市,33.37092724,134.03729,
4210130,加領郷,ｶﾘｮｳｺﾞｳ,1,安芸郡奈半利町,33.38259031,134.035845,
4210140,安田,ﾔｽﾀﾞ,1,安芸郡安田町,33.444462,133.954846,
4210145,伊尾木,ｲｵｷ,1,安芸市,33.466126,133.940403,
4210170,穴内,ｱﾅﾅｲ,1,安芸市,33.50347378,133.8566715,
4210180,赤野,ｱｶﾉ,1,安芸市,33.51116684,133.833991,
4210190,西分,ﾆｼﾌﾞﾝ,1,安芸市,33.51351254,133.7724621,
4210200,住吉,ｽﾐﾖｼ,1,安芸郡芸西村,33.51667913,133.7642618,
4210210,赤岡,ｱｶｵｶ,1,香南市,33.5371709,133.7208759,
4210220,吉川,ﾖｼｶﾜ,1,香南市,33.53330865,133.6949646,
4210240,春野,ﾊﾙﾉ,1,香南市,33.46986419,133.50824,
4210250,深浦,ﾌｶｳﾗ,1,香南市,33.4426762,133.4148217,
4210260,池ノ浦,ｲｹﾉｳﾗ,1,高知市,33.4083421,133.4160834,
4210270,久通,ｸﾂｳ,1,須崎市,33.39501,133.340735,
4210280,中ノ島,ﾅｶﾉｼﾏ,1,須崎市,33.36084074,133.3104173,
4210290,新荘,ｼﾝｼﾞｮｳ,1,須崎市,33.38347824,133.2810896,
4210300,安和,ｱﾜ,1,須崎市,33.364456,133.260742,
4210310,上ノ加江,ｶﾐﾉｶｴ,1,須崎市,33.27733552,133.2439961,
4210320,矢井賀,ﾔｲｶﾞ,1,須崎市,33.24427591,133.2499065,
4210330,志和,ｼﾜ,1,高岡郡中土佐町,33.23270814,133.2530128,
4210340,小室,ｵﾑﾛ,1,高岡郡中土佐町,33.16207312,133.2066167,
4210350,鈴,ｽｽﾞ,1,高岡郡四万十町,33.12460976,133.1560261,
4210360,灘,ﾅﾀﾞ,1,高岡郡四万十町,33.03355053,133.0948277,
4210370,伊田,ｲﾀﾞ,1,幡多郡黒潮町,33.03388557,133.0727229,
4210380,浮津,ｳｷﾂ,1,幡多郡黒潮町,33.03670914,133.0387171,
4210390,入野,ｲﾘﾉ,1,幡多郡黒潮町,33.01071636,133.0133299,
4210400,双海,ﾌﾀﾐ,1,幡多郡黒潮町,32.97769716,133.0019363,
4210410,平野,ﾋﾗﾉ,1,幡多郡黒潮町,32.94897729,132.9963389,
4210420,名鹿,ﾅｼｼ,1,四万十市,32.92202003,133.0018084,
4210430,立石,ﾀﾃｲｼ,1,四万十市,32.89474045,133.0081831,
4210440,布,ﾇﾉ,1,四万十市,32.86645884,132.9855597,
4210450,小浜,ｺﾊﾏ,1,土佐清水市,32.83133002,132.9594749,
4210460,津呂,ﾂﾛ,1,土佐清水市,32.76761203,133.0128102,
4210470,伊佐,ｲｻ,1,土佐清水市,32.722301,133.008006,
4210480,松尾,ﾏﾂｵ,1,土佐清水市,32.73160761,132.9860669,
4210490,大浜,ｵｵﾊﾏ,1,土佐清水市,32.75072567,132.966954,
4210500,中ノ浜,ﾅｶﾉﾊﾏ,1,土佐清水市,32.757574,132.963286,
4210510,養老,ﾖｳﾛｳ,1,土佐清水市,32.782571,132.929678,
4210520,松崎,ﾏﾂｻﾞｷ,1,土佐清水市,32.7847203,132.9186965,
4210530,三崎,ﾐｻｷ,1,土佐清水市,32.78698823,132.8771092,
4210540,竜串,ﾀﾂｸｼ,1,土佐清水市,32.78652847,132.8684411,
4210550,下川口,ｼﾓｶﾜｸﾞﾁ,1,土佐清水市,32.78118,132.841908,
4210560,貝ノ川,ｶｲﾉｶﾜ,1,土佐清水市,32.760348,132.81691,
4210570,大津,ｵｵﾂ,1,土佐清水市,32.75186506,132.8047697,
4210580,小才角,ｺｻｲﾂﾉ,1,幡多郡大月町,32.75608314,132.7848724,
4210590,尾浦,ｵｳﾗ,1,土佐清水市,32.75892321,132.7654686,
4210600,西泊,ﾆｼﾄﾞﾏﾘ,1,幡多郡大月町,32.785318,132.7262092,
4210610,樫ノ浦,ｶｼﾉｳﾗ,1,幡多郡大月町,32.77835642,132.7315776,
4210620,周防形,ｽｵｳｶﾞﾀ,1,幡多郡大月町,32.79633528,132.7181681,
4210630,古満目,ｺﾏﾒ,1,幡多郡大月町,32.790065,132.68581,
4210640,柏島,ｶｼﾜｼﾞﾏ,1,幡多郡大月町,32.77186175,132.634141,
4210650,一切,ｲｯｻｲ,1,幡多郡大月町,32.784231,132.639981,
4210660,安満地,ｱﾏｼﾞ,1,幡多郡大月町,32.80413819,132.6538646,
4210670,橘浦,ﾀﾁﾊﾞﾅｳﾗ,1,幡多郡大月町,32.82814114,132.6570821,
4210680,泊浦,ﾄﾏﾘｳﾗ,1,幡多郡大月町,32.84213076,132.6707678,
4210690,竜ヶ迫,ﾀﾂｶﾞｻｺ,1,幡多郡大月町,32.86283997,132.6659441,
4210700,栄喜,ｻｶｷ,1,幡多郡大月町,32.87983749,132.7095903,
4210710,大海,ｵｵﾐ,1,宿毛市,32.88758655,132.7140101,
4210720,湊浦,ﾐﾅﾄｳﾗ,1,宿毛市,32.89652771,132.7202518,
4210730,内外ノ浦,ﾅｲｶﾞｲﾉｳﾗ,1,宿毛市,32.89959356,132.7166336,
4210750,大浦,ｵｵｳﾗ,1,宿毛市,32.91675907,132.7113816,
4210760,池島,ｲｹｼﾞﾏ,1,宿毛市,32.92036793,132.6886107,
4210770,宇須々木,ｳｽｽｷ,1,宿毛市,32.92206094,132.6720527,
4220010,椎名,ｼｲﾅ,2,宿毛市,33.32673828,134.1997162,
4220020,三津,ﾐﾂ,2,室戸市,33.29180802,134.1898234,
4220030,安芸,ｱｷ,2,室戸市,33.49555714,133.8914966,
4220040,野見,ﾉﾐ,2,安芸市,33.37861167,133.3190635,
4220050,浦分,ｳﾗﾌﾞﾝ,2,須崎市,33.16141499,133.2199559,
4220070,田野浦,ﾀﾉｳﾗ,2,高岡郡四万十町,32.99865865,133.0078051,
4220080,窪津,ｸﾎﾞﾂ,2,幡多郡黒潮町,32.78891326,132.9972161,
4220090,大島,ｵｵｼﾏ,2,土佐清水市,32.91767911,132.7012975,
4220100,藻津,ﾑｸﾂﾞ,2,宿毛市,32.92172824,132.6607581,
4220110,田ノ浦,ﾀﾉｳﾗ,2,宿毛市,,,
4230010,室戸岬,ﾑﾛﾄﾐｻｷ,3,宿毛市,33.26305781,134.16228,
4230020,宇佐,ｳｻ,3,室戸市,33.44514803,133.4504158,
4230030,清水,ｼﾐｽﾞ,3,土佐市,,,
,,,,須崎市,,,
,,,,土佐清水市,,,
4230040,佐賀,ｻｶﾞ,3,幡多郡黒潮町,33.07502538,133.1138633,
4240010,沖の島,ｵｷﾉｼﾏ,4,宿毛市（沖の島）,32.80035656,132.4964694,
