ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
3410010,東,ﾋｶﾞｼ,1,岩美郡岩美町,35.60280257,134.3490328,
3410030,岩戸,ｲﾜﾄﾞ,1,鳥取市,35.56372992,134.2733423,
3410040,酒津,ｻｹﾉﾂ,1,鳥取市,35.52592001,134.0876028,
3410050,船磯,ﾌﾅｲｿ,1,鳥取市,35.52462627,134.0204466,
3410060,夏泊,ﾅﾂﾄﾞﾏﾘ,1,鳥取市,35.53217229,134.000393,
3410070,青谷,ｱｵﾔ,1,鳥取市,35.52568648,133.9963093,
3410080,長和瀬,ﾅｶﾞﾜｾ,1,鳥取市,35.5234022,133.9726525,
3410090,羽合,ﾊﾜｲ,1,東伯郡湯梨浜町,35.50799907,133.8767396,
3410100,御崎,ﾐｻｷ,1,西伯郡大山町,35.53032979,133.5930749,
3410110,御来屋,ﾐｸﾘﾔ,1,西伯郡大山町,35.51175901,133.4918335,
3410120,平田,ﾋﾗﾀ,1,西伯郡大山町,35.47948812,133.4322672,
3410125,皆生,ｶｲｹ,1,米子市,35.46264936,133.3410097,
3410130,崎津,ｻｷﾂ,1,米子市,32.30930829,130.022945,
3410140,渡,ﾜﾀﾘ,1,境港市,,,
3420010,泊,ﾄﾏﾘ,2,東伯郡湯梨浜町,,,
3420020,淀江,ﾖﾄﾞｴ,2,米子市,35.46122302,133.4220375,
3430010,網代,ｱｼﾞﾛ,3,岩美郡岩美町,35.583114,134.292803,
3430110,境,ｻｶｲ,特3,境港市,35.546151,133.248454,
