ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
4910010,桂島,ｶﾂﾗｼﾞﾏ,1,出水市（桂島）,32.148424,130.262153,
4910020,野口,ﾉｸﾞﾁ,1,出水市,32.125093,130.261042,
4910025,伊唐北,ｲｶﾗｷﾀ,1,出水郡長島町,32.218415,130.206045,
4910026,三船,ﾐﾌﾈ,1,出水郡長島町,32.21493622,130.1627258,
4910027,観音,ｶﾝﾉﾝ,1,出水郡長島町,32.147867,130.196047,
4910028,大島,ｵｼﾏ,1,出水郡長島町,32.090373,130.159386,
4910040,蔵之元,ｸﾗﾉﾓﾄ,1,出水郡長島町,32.19036,130.104389,
4910050,汐見,ｼｵﾐ,1,出水郡長島町,32.106759,130.141053,
4910060,脇本,ﾜｷﾓﾄ,1,阿久根市,32.07843,130.184384,
4910070,佐潟,ｻｶﾞﾀ,1,阿久根市,31.994273,130.185219,
4910080,牛之浜,ｳｼﾉﾊﾏ,1,阿久根市,31.973164,130.206607,
4910090,唐浜,ｶﾗﾊﾏ,1,薩摩川内市,31.868454,130.204943,
4910100,寄田,ﾖﾘﾀ,1,薩摩川内市,31.818459,130.179391,
4910110,土川,ﾂﾁｶﾜ,1,いちき串木野市,31.778742,130.179392,
4910115,里,ｻﾄ,1,薩摩川内市,,,
4910120,小島,ｵｼﾏ,1,薩摩川内市（上甑島）,31.858449,129.863584,
4910125,芦浜,ｱｼﾊﾏ,1,薩摩川内市（上甑島）,31.71374621,129.7556204,
4910130,青瀬,ｱｵｾ,1,薩摩川内市（下甑島）,31.670135,129.727212,
4910140,瀬々野浦,ｾｾﾉｳﾗ,1,薩摩川内市（下甑島）,31.692354,129.691659,
4910150,片野浦,ｶﾀﾉｳﾗ,1,薩摩川内市（下甑島）,31.663468,129.681939,
4910160,市来,ｲﾁｷ,1,薩摩川内市（下甑島）,31.6930588,130.2832681,
4910180,吹上,ﾌｷｱｹﾞ,1,いちき串木野市,31.505164,130.319386,
4910190,黒瀬,ｸﾛｾ,1,日置市,31.37333117,130.1679996,
4910205,脇浦,ﾜｷｳﾗ,1,南さつま市,31.19639689,130.5120431,
4910208,児ヶ水,ﾁｮｶﾞﾐｽﾞ,1,指宿市,31.16702011,130.5923991,
4910210,生見,ﾇｸﾐ,1,指宿市,31.30874591,130.5814242,
4910215,前之浜,ﾏｴﾉﾊﾏ,1,鹿児島市,31.348519,130.557424,
4910220,重富,ｼｹﾞﾄﾐ,1,鹿児島市,31.700147,130.617688,
4910230,永浜,ﾅｶﾞﾊﾏ,1,姶良市,31.728479,130.696292,
4910235,国分,ｺｸﾌﾞ,1,霧島市,31.70309691,130.7870766,
4910240,中浜,ﾅｶﾊﾏ,1,霧島市,,,
4910250,赤水,ｱｶﾐｽﾞ,1,垂水市,31.573494,130.606859,
4910255,垂水南,ﾀﾙﾐｽﾞﾐﾅﾐ,1,鹿児島市,31.44487754,130.7348864,
4910257,大浜,ｵｵﾊﾏ,1,垂水市,31.19371825,130.7600335,
4910260,島泊,ｼﾏﾄﾞﾏﾘ,1,肝属郡南大隅町,31.06208989,130.6757192,
4910265,尾波瀬,ｵﾊﾞｾ,1,肝属郡南大隅町,31.04145777,130.6771793,
4910270,田尻,ﾀｼﾞﾘ,1,肝属郡南大隅町,31.008002,130.674367,
4910280,間泊,ﾏﾄﾞﾏﾘ,1,肝属郡南大隅町,31.03711201,130.714359,
4910285,辺塚,ﾍﾂｶ,1,肝属郡南大隅町,31.09173461,130.8286333,
4910290,船間,ﾌﾅﾏ,1,肝属郡南大隅町,31.18350382,130.9926928,
4910295,東風泊,ｺﾁﾄﾞﾏﾘ,1,肝属郡肝付町,31.342417,131.061547,
4910300,夏井,ﾅﾂｲ,1,肝属郡肝付町,31.467405,131.133759,
4910310,能野,ﾖｷﾉ,1,志布志市,30.68576849,130.9542232,
4910320,花里崎,ｹﾘｻﾞｷ,1,西之表市（種子島）,30.7563144,131.002485,
4910330,湊,ﾐﾅﾄ,1,西之表市（種子島）,30.82487488,131.0644449,
4910335,沖ヶ浜田,ｵｷｶﾞﾊﾏﾀﾞ,1,西之表市（種子島）,30.76220163,131.0729159,
4910340,安城,ｱﾝｼﾞｮｳ,1,西之表市（種子島）,30.649438,131.051565,
4910350,葉山,ﾊﾔﾏ,1,西之表市（種子島）,30.75203266,130.8611938,
4910360,高坊,ﾀｶﾎﾞｳ,1,西之表市（種子島）,30.73131201,130.8659278,
4910370,中山,ﾅｶﾔﾏ,1,西之表市（種子島）,30.52913581,130.9950322,
4910380,梶潟,ｶｼﾞｶﾞﾀ,1,熊毛郡中種子町（種子島）,30.48708243,130.8813796,
4910390,浜田,ﾊﾏﾀﾞ,1,熊毛郡中種子町（種子島）,30.44191096,130.9740144,
4910400,竹崎,ﾀｹｻﾞｷ,1,熊毛郡南種子町（種子島）,30.371134,130.959079,
4910410,下西目,ｼﾓﾆｼﾒ,1,熊毛郡南種子町（種子島）,30.355578,130.865199,
4910420,砂坂,ｽﾅｻｶ,1,熊毛郡南種子町（種子島）,30.384186,130.862421,
4910430,大川,ｵｵｶﾜ,1,熊毛郡南種子町（種子島）,30.417794,130.864364,
4910440,州崎,ｽｻﾞｷ,1,熊毛郡南種子町（種子島）,30.43417543,130.8569958,
4910450,志戸子,ｼﾄｺﾞ,1,熊毛郡屋久島町（屋久島）,30.45195,130.51856,
4910460,小瀬田,ｺｾﾀﾞ,1,熊毛郡屋久島町（屋久島）,30.40325847,130.6368193,
4910470,吉田,ﾖｼﾀﾞ,1,熊毛郡屋久島町（屋久島）,30.432785,130.457455,
4910475,麦生,ﾑｷﾞｵ,1,熊毛郡屋久島町（屋久島）,30.255029,130.604946,
4910480,原,ﾊﾗ,1,熊毛郡屋久島町（屋久島）,30.244474,130.588004,
4910490,栗生,ｸﾘｵ,1,熊毛郡屋久島町（屋久島）,30.26729323,130.416515,
4910510,城之前,ｼﾞｮｳﾉﾏｴ,1,鹿児島郡十島村（小宝島）,29.227898,129.328969,
4910523,喜瀬,ｷｾ,1,奄美市,28.42700551,129.6544686,
4910525,秋名,ｱｷﾅ,1,大島郡龍郷町,28.448819,129.557576,
4910530,安木屋場,ｱﾝｷｬﾊﾞ,1,大島郡龍郷町,28.477149,129.614515,
4910540,龍郷,ﾀﾂｺﾞｳ,1,大島郡龍郷町,28.452708,129.605906,
4910543,小宿,ｺｼｭｸ,1,奄美市,28.4032566,129.4692324,
4910545,崎原,ｻｷﾊﾞﾙ,1,奄美市,28.34463771,129.571891,
4910560,小湊(三方),ｺﾐﾅﾄ(ﾐｶﾀ),1,大島郡龍郷町,28.320499,129.535358,
4910565,和瀬,ﾜｾ,1,奄美市,28.294112,129.474253,
4910570,名音,ﾅｵﾝ,1,奄美市,28.33716,129.311766,
4910580,今里,ｲﾏｻﾄ,1,大島郡大和村,28.327438,129.273992,
4910590,宇検,ｳｹﾝ,1,大島郡大和村,28.29383,129.227052,
4910595,芦検,ｱｼｹﾝ,1,大島郡宇検村,28.28648136,129.2690529,
4910600,平田,ﾍﾀﾞ,1,大島郡宇検村,28.254667,129.20511,
4910610,西古見,ﾆｼｺﾐ,1,大島郡宇検村,28.239668,129.171224,
4910620,花天,ｹﾃﾝ,1,大島郡瀬戸内町,28.228281,129.216499,
4910630,久慈,ｸｼﾞ,1,大島郡瀬戸内町,36.49834325,140.6314328,
4910640,実久,ｻﾈｸ,1,大島郡瀬戸内町,28.187174,129.184558,
4910650,芝,ｼﾊﾞ,1,大島郡瀬戸内町,28.193284,129.211778,
4910660,諸鈍,ｼｮﾄﾞﾝ,1,大島郡瀬戸内町,28.089964,129.324548,
4910665,秋徳,ｱｷﾄｸ,1,大島郡瀬戸内町,28.08302,129.284829,
4910670,小野津,ｵﾉﾂ,1,大島郡瀬戸内町,28.366612,130.001428,
4910690,荒木,ｱﾗｷ,1,大島郡喜界町,28.29588485,129.9134227,
4910700,山,ｻﾝ,1,大島郡徳之島町,27.86415,128.958473,
4910703,亀津,ｶﾒﾂ,1,大島郡徳之島町,27.729998,129.021803,
4910708,前泊,ﾏｴﾄﾞﾏﾘ,1,大島郡伊仙町,27.707221,128.898203,
4910710,松原,ﾏﾂﾊﾞﾗ,1,大島郡天城町,27.857204,128.889867,
4910713,内喜名,ﾅｲｷﾅ,1,大島郡和泊町,27.397527,128.595179,
4910725,沖泊,ｵｷﾄﾞﾏﾘ,1,大島郡知名町,27.39809615,128.5542283,
4910740,茶花,ﾁｬﾊﾞﾅ,1,大島郡与論町,27.050339,128.412423,
4910750,麦屋,ﾑｷﾞﾔ,1,大島郡与論町,27.01939052,128.4491159,
4920010,名護,ﾅｺﾞ,2,出水市,32.12393562,130.3279715,
4920030,幣串,ﾍｸﾞｼ,2,出水郡長島町（獅子島）,32.261743,130.227709,
4920035,葛輪,ｸｽﾞﾜ,2,出水郡長島町,32.257577,130.186046,
4920040,茅屋,ﾎﾞﾔ,2,出水郡長島町,32.213414,130.126052,
4920050,平良,ﾀｲﾗ,2,薩摩川内市（中甑島）,31.804288,129.841087,
4920060,藺牟田,ｲﾑﾀ,2,薩摩川内市（下甑島）,31.777901,129.794426,
4920070,羽島,ﾊｼﾏ,2,いちき串木野市,31.753467,130.202724,
4920075,戸崎,ﾄｻｷ,2,いちき串木野市,31.66095519,130.3007082,
